Publisher,Time,Author,Title
Elsevier Health Sciences,2/27/15,Carolyn Jarvis,Laboratory Manual for Physical Examination & Health Assessment / Edition 7
Health Administration Press,6/1/15,Beaufort B. Longest Jr.,Health Policymaking in the United States
Cengage Learning,1/1/16,Ann Ehrlich,Medical Terminology for Health Professions / Edition 8
Elsevier Health Sciences,2/18/15,Carolyn Jarvis,Physical Examination and Health Assessment / Edition 7
Elsevier Health Sciences,6/23/15,Joyce E. Dains,Advanced Health Assessment & Clinical Diagnosis in Primary Care / Edition 5
Elsevier Health Sciences,5/28/15,Diana J. Mason,Policy & Politics in Nursing and Health Care / Edition 7
Jones & Bartlett Learning,11/14/12,Robert H. Friis,Essentials Of Environmental Health / Edition 2
Macmillan Education UK,10/30/13,Jay Bhattacharya,Health Economics
Antebellum Publishing,8/5/15,Katie Cross,"Bon Bons to Yoga Pants (The Health and Happiness Society, #1)"
Jones & Bartlett Learning,4/20/15,Nancy Borkowski,Organizational Behavior In Health Care / Edition 3
Jones & Bartlett Learning,11/24/15,Leiyu Shi,Essentials Of The U.S. Health Care System / Edition 4
Jones & Bartlett Learning,9/20/13,George B. Moseley III,Managing Legal Compliance In The Health Care Industry
Jones & Bartlett Learning,2/23/16,Mary-Jane Schneider,Introduction To Public Health / Edition 5
Jones & Bartlett Learning,12/1/14,Donna M. Nickitas,Policy And Politics For Nurses And Other Health Professionals / Edition 2
Jones & Bartlett Learning,8/12/14,Leiyu Shi,Delivering Health Care In America / Edition 6
Jones & Bartlett Learning,12/3/14,George D. Pozgar,Legal And Ethical Issues For Health Professionals / Edition 4
Jones & Bartlett Learning,8/7/15,Richard Skolnik,Global Health 101 / Edition 3
Jones & Bartlett Learning,6/3/13,Ann Aschengrau,Essentials Of Epidemiology In Public Health / Edition 3
Jones & Bartlett Learning,12/13/16,James F. McKenzie,An Introduction To Community & Public Health / Edition 9
Jones & Bartlett Learning,8/8/16,Kerri Durnell Schuiling,Women's Gynecologic Health / Edition 3
Pearson,7/24/14,Nola J. Pender,Health Promotion in Nursing Practice / Edition 7
Jones & Bartlett Learning,3/27/15,Peter R. Kongstvedt,Health Insurance And Managed Care / Edition 4
A & B Distributors & Publishers Group,2/28/12,Llaila O. Afrika,African Holistic Health
"Congressional Quarterly, Inc.",2/19/16,Steven A Finkler,"Financial Management for Public, Health, and Not-for-Profit Organizations Fifth Edition / Edition 2"
Elsevier Health Sciences,10/11/13,Carole Lium Edelman,Health Promotion Throughout the Life Span / Edition 8
Springer Publishing Company,4/28/15,Anthony R. Kovner,"Jonas And Kovner's Health Care Delivery In The United States, 11e / Edition 11"
Elsevier Health Sciences,1/3/14,Karin C. VanMeter,Gould's Pathophysiology for the Health Professions / Edition 5
Jones & Bartlett Learning,12/3/14,Jeri A. Milstead,Health Policy And Politics / Edition 5
LWW,10/3/16,Sheila L. Videbeck,Psychiatric Mental Health Nursing / Edition 7
Charisma Media,2/2/16,Janet Maccaro,Dr. Janet's Guide to Thyroid Health
Jones & Bartlett Learning,3/1/13,John E. Steiner Jr.,Problems In Health Care Law / Edition 10
Elsevier Health Sciences,2/20/15,Carolyn Jarvis,Pocket Companion for Physical Examination and Health Assessment / Edition 7
Elsevier Health Sciences,5/30/16,Mosby,"Mosby's Dictionary of Medicine, Nursing & Health Professions / Edition 10"
Jones & Bartlett Learning,12/1/11,Ralph J. DiClemente,Health Behavior Theory For Public Health
Ener-chi.com,12/10/07,Andreas Moritz,Timeless Secrets Of Health And Rejuvenation
Jones & Bartlett Learning,5/26/16,Nell L. Tharpe,Clinical Practice Guidelines For Midwifery & Women's Health / Edition 5
"Rodale Press, Inc.",1/23/18,The Editors of Women's Health,"Women's Health Healthy Meals for One (or Two) Cookbook: A Simple Guide to Shopping, Prepping, and Cooking for Yourself with 175 Nutritious Recipes"
Jones & Bartlett Learning,3/28/16,Sharon B. Buchbinder,Introduction To Health Care Management / Edition 3
Pearson IT Certification,12/17/04,Bisys Educational Services,Life and Health Insurance License Exam Cram
Jones & Bartlett Learning,3/16/15,David B. Nash,Population Health / Edition 2
Jones & Bartlett Learning,8/10/16,Kathryn H. Jacobsen,Introduction To Health Research Methods / Edition 2
Bragg Health Sciences,3/25/08,Patricia Bragg,APPLE CIDER VINEGAR MIRACLE HEALTH SYSTEM
Jones & Bartlett Learning,12/26/16,Nancy J. Niles,Basics Of The U.S. Health Care System / Edition 3
Touchstone,10/4/11,Boston Women's Health Book Collective,"Our Bodies, Ourselves"
Jones & Bartlett Learning,4/11/16,Kathleen Mastrian,Informatics For Health Professionals
Jones & Bartlett Learning,2/17/16,Joel B. Teitelbaum,Essentials Of Health Policy And Law / Edition 3
Elsevier Health Sciences,10/7/13,Sharon Smith Murray,Foundations of Maternal-Newborn and Women's Health Nursing / Edition 6
Feel Happy Limited,2/5/15,Alan Kenworthy,"Goldendoodles - The Owners Guide from Puppy to Old Age - Choosing, Caring for, Grooming, Health, Training and Understanding Your Goldendoodle Dog"
Jones & Bartlett Learning,3/10/15,Michael K. Harrington,Health Care Finance And The Mechanics Of Insurance And Reimbursement
American Health Information Management Association,2/1/16,American Health Information Management Association,Management for the Health Information Professional / Edition 1
"Rodale Press, Inc.",11/28/17,Jen Ator,"The Women's Health Fitness Fix: Quick HIIT Workouts, Easy Recipes, & Stress-Free Strategies for Managing a Healthy Life"
Jones & Bartlett Learning,10/7/11,Helen Osborne,Health Literacy From A To Z / Edition 2
Lippincott Williams & Wilkins,10/1/13,Jane H. Kelley,Health Assessment in Nursing / Edition 5
Jones & Bartlett Learning,5/24/12,Patti R. Rose,Cultural Competency For The Health Professional
