ID,Publisher,Time,Author,Title
3180,Barnes & Noble,07/31/2015,Edgar Allan Poe,The Complete Tales and Poems of Edgar Allan Poe (Barnes & Noble Collectible Editions)
3181,"Little, Brown and Company",04/02/2013,Maria Semple,"Where'd You Go, Bernadette"
3182,Houghton Mifflin Harcourt,10/13/2009,Tim O'Brien,The Things They Carried
3183,"Little, Brown and Company",03/06/2018,Luis Alberto Urrea,The House of Broken Angels
3184,Scribner,04/04/2017,Anthony Doerr,All the Light We Cannot See
3185,Flame Tree,12/19/2017,Edgar Allan Poe,Edgar Allan Poe Stories
3186,HarperCollins Publishers,08/28/2012,Madeline Miller,The Song of Achilles
3187,"Little, Brown and Company",01/30/2001,J. D. Salinger,The Catcher in the Rye
3188,Grand Central Publishing,10/28/1988,Harper Lee,To Kill a Mockingbird
3189,Scribner,09/30/2004,F. Scott Fitzgerald,The Great Gatsby
3190,Random House Publishing Group,03/27/2018,Elizabeth Strout,Anything Is Possible
3191,Random House Publishing Group,02/06/2018,George Saunders,Lincoln in the Bardo
3192,Grand Central Publishing,11/14/2017,Min Jin Lee,Pachinko
3193,Penguin Publishing Group,04/03/2018,Meg Wolitzer,The Female Persuasion (The Barnes & Noble Book Club Edition)
3194,Penguin Publishing Group,03/05/2013,Khaled Hosseini,The Kite Runner (10th Anniversary)
3195,Knopf Doubleday Publishing Group,01/30/2018,Colson Whitehead,The Underground Railroad
3196,"Little, Brown and Company",04/10/2018,Madeline Miller,Circe
3197,Algonquin Books of Chapel Hill,02/06/2018,Tayari Jones,An American Marriage (Oprah's Book Club)
3198,"Norton, W. W. & Company, Inc.",04/03/2018,Richard Powers,The Overstory
3199,Knopf Doubleday Publishing Group,05/02/2017,Yaa Gyasi,Homegoing
3200,HarperCollins Publishers,03/10/2011,Harper Lee,To Kill a Mockingbird (Barnes & Noble Collectible Editions)
3201,Random House Publishing Group,04/26/2016,Anne Tyler,A Spool of Blue Thread
3202,Scribner,10/03/2017,Jennifer Egan,Manhattan Beach
3203,Random House Publishing Group,06/26/2017,Imbolo Mbue,Behold the Dreamers
3204,Scribner,09/05/2017,Jesmyn Ward,"Sing, Unburied, Sing"
3205,HarperCollins Publishers,06/20/2017,Paulette Jiles,News of the World
3206,Graywolf Press,10/03/2017,Carmen Maria Machado,Her Body and Other Parties
3207,Penguin Publishing Group,12/05/2017,Ottessa Moshfegh,Homesick for Another World
3208,Random House Publishing Group,10/11/2016,Elizabeth Strout,My Name Is Lucy Barton
3209,Knopf Doubleday Publishing Group,10/28/1994,Sandra Cisneros,La casa en Mango Street (The House on Mango Street)
3210,"Norton, W. W. & Company, Inc.",05/01/2018,Chuck Palahniuk,Adjustment Day: A Novel
3211,Penguin Publishing Group,02/13/2018,Elif Batuman,The Idiot
3212,"Farrar, Straus and Giroux",09/19/2017,Alice McDermott,The Ninth Hour
3213,Knopf Doubleday Publishing Group,03/22/2011,Jennifer Egan,A Visit from the Goon Squad
3214,Random House Publishing Group,05/09/2017,Emma Cline,The Girls
3215,HarperCollins Publishers,01/02/2018,Jessica Shattuck,The Women in the Castle
3216,Random House Publishing Group,01/28/1999,Kurt Vonnegut,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death"
3217,Knopf Doubleday Publishing Group,10/17/2017,Tom Hanks,Uncommon Type: Some Stories
