Publisher,Time,Author,Title
Del Rey,03/06/18,Jason Fry,The Last Jedi: Expanded Edition (Star Wars)
Harper Perennial Modern Classics,07/05/05,Harper Lee,To Kill a Mockingbird
Anchor; 1st Anchor Books edition,03/16/98,Margaret Atwood,The Handmaid's Tale
G.P. Putnam's Sons; First Edition edition,01/09/18,Chloe Benjamin,The Immortalists
Doubleday; First Edition edition,10/03/17,Dan Brown,Origin: A Novel
Independently published,10/22/17,Adam Gasiewski,Milk and Vine: Inspirational Quotes From Classic Vines
Penguin Books; Reprint edition,01/02/18,Georgia Hunter,We Were the Lucky Ones: A Novel
St. Martin's Griffin; Reprint edition,04/25/17,Kristin Hannah,The Nightingale: A Novel
"Tyndale House Publishers, Inc.",03/06/18,Joel C. Rosenberg,The Kremlin Conspiracy
Simon &amp; Schuster; Reissue edition,01/10/12,Ray Bradbury,Fahrenheit 451
Grand Central Publishing; Reprint edition,11/14/17,Min Jin Lee,Pachinko (National Book Award Finalist)
Scribner,05/22/18,Stephen King,The Outsider
Scribner; First Edition/First Printing edition,09/05/17,Jesmyn Ward,"Sing, Unburied, Sing: A Novel"
Grand Central Publishing; First Edition edition,04/12/16,Lin-Manuel Miranda,Hamilton: The Revolution
Scribner; Reprint edition,04/04/17,Anthony Doerr,All the Light We Cannot See: A Novel
G.P. Putnam's Sons; Reprint edition,02/06/18,Jill Santopolo,The Light We Lost
Akashic Books; 1st edition,06/14/11,Adam Mansbach,Go the F**k to Sleep
St. Martin's Press,01/09/18,Greer Hendricks,The Wife Between Us: A Novel
"Tyndale House Publishers, Inc.",02/06/18,Francine Rivers,The Masterpiece
Pamela Dorman Books,01/30/18,Jojo Moyes,Still Me: A Novel
FSG Originals; First Edition edition,02/04/14,Jeff VanderMeer,Annihilation: A Novel (The Southern Reach Trilogy)
CreateSpace Independent Publishing Platform,11/19/17,r.h. Sin,I hope this reaches her in time
Ballantine Books; Reprint edition,02/28/17,Martha Hall Kelly,Lilac Girls: A Novel
William Morrow Paperbacks,06/06/17,Kate Quinn,The Alice Network: A Novel
Scribner,09/30/04,F. Scott Fitzgerald,The Great Gatsby
Random House; 1st edition,01/27/09,Dr. Seuss,You're Only Old Once!: A Book for Obsolete Children
Ballantine Books; Reprint edition,02/20/18,Jodi Picoult,Small Great Things: A Novel
Vintage; Box edition,06/12/12,E L James,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)
William Morrow Paperbacks; Reprint edition,03/06/18,Balli Kaur Jaswal,Erotic Stories for Punjabi Widows: A Novel
G.P. Putnam's Sons,11/13/18,Janet Evanovich,Look Alive Twenty-Five: A Stephanie Plum Novel
Random House Trade Paperbacks; Reprint edition,02/06/18,George Saunders,Lincoln in the Bardo: A Novel
Doubleday,03/13/18,Chris Bohjalian,The Flight Attendant: A Novel
Delacorte Press,11/05/18,Lee Child,Past Tense: A Jack Reacher Novel
Bookouture,02/24/17,Kerry Fisher,The Silent Wife: A gripping emotional page turner with a twist that will take your breath away
Riverhead Books; Reprint edition,02/27/18,Mohsin Hamid,Exit West: A Novel
Viking,03/20/18,Elizabeth George,The Punishment She Deserves: A Lynley Novel
Grand Central Publishing,04/17/18,David Baldacci,The Fallen (Memory Man series)
Washington Square Press; Reprint edition,02/06/18,Fredrik Backman,Beartown: A Novel
Pamela Dorman Books; F First Edition edition,05/09/17,Gail Honeyman,Eleanor Oliphant Is Completely Fine: A Novel
Scribner,02/13/18,Jason Matthews,The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy)
"Little, Brown and Company",02/19/18,James Patterson,Fifty Fifty (Harriet Blue)
FSG Originals; First Edition edition,11/18/14,Jeff VanderMeer,Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance
Image Comics,03/13/18,Robert Kirkman,The Walking Dead Volume 29: Lines We Cross
Signet Classic,07/01/50,George Orwell,1984 (Signet Classics)
