Publisher,Time,Author,Language,Title
Taschen America,"March 29, 2018",Jim Heimann,Multilingual,Dark City: The Real Los Angeles Noir (Multilingual Edition)
Books on Demand,"April 10, 2017",Klaus Waller,German,Paul Abraham. Der Tragische Konig Der Operette (German Edition)
VDM Verlag Dr. Müller,"February 26, 2007",Magnus Hirschfeld,German,Sexualität und Kriminalität: Überblick über Verbrechen geschlechtlichen Ursprungs (German Edition)
Hofenberg,"April 26, 2016",Arthur Schopenhauer,German,Die Welt ALS Wille Und Vorstellung (German Edition)
Carlsen Verlag GmbH,"July 1, 2005",J K Rowling,German,Harry Potter Und der Stein der Weisen (German Edition)
Dr. Ingo Klöckl,"May 15, 2014",Ingo Klöckl,German,Grundlagen der Astrodynamik und Ephemeridenrechnung: Eine mathematische Einführung für Anfänger (German Edition)
VS Verlag für Sozialwissenschaften; 2009 edition,,Carsten Heinze,German,Identität und Geschichte in autobiographischen Lebenskonstruktionen: Jüdische und nicht-jüdische Vergangenheitsbearbeitungen in Ost- und Westdeutschland (German Edition)
COMABI DISTRIBUTION GMBH,,Isabella Mohn,German,Mia and me - Die Legende von Centopia
Kiepenheuer &amp; Witsch GmbH,,Volker Kutscher,German,Der nasse Fisch
Independently published,,Peter Nusseck,German,Peters Wochenbericht: Läufertagebuch (German Edition)
CreateSpace Independent Publishing Platform,"June 8, 2015",Theodor Fontane,German,Jenseit des Tweed: Bilder und Briefe aus Schottland (German Edition)
Forgotten Books,"November 15, 2017",Thomas Mann,German,Unordnung und Frühes Leid (Classic Reprint) (German Edition)
Dr Ludwig Reichert Verlag,,Susanne Enderwitz,German,Palästinensische Autobiographien: Unsere Situation schuf unsere Erinnerungen (Literaturen Im Kontext. Arabisch - Persisch - Turkisch) (German Edition)
Verlag Herder GmbH,"October 13, 2016",Martin Werlen,German,Heute im Blick (German Edition)
CreateSpace Independent Publishing Platform,"February 26, 2015",Magnus Hirschfeld,German,Berlins drittes Geschlecht: Homosexualität um 1900 (German Edition)
North Point Press; Bilingual edition edition,"March 15, 2011",Rainer Maria Rilke,German,The Poetry of Rilke (German Edition)
CreateSpace Independent Publishing Platform,"August 21, 2014",Alexandra Dannenmann,German,Kann die Sonne schwimmen?: Ein Bilderbuch mit vielen farbigen Illustrationen ab 2 Jahren. (German Edition)
Edition C; 1. Aufl edition,,H. R Giger,German,H.R. Giger's Necronomicon 2 (German Edition)
Kiepenheuer &amp; Witsch GmbH,,Bret Easton Ellis,German,American Psycho
Heyne,"January 1, 1997",Anthony Burgess,German,A Clockwork Orange
