Publisher,Time,Author,Title
Random House Children's Books,8/1/17,Princeton Review,"Cracking the AP World History Exam 2018, Premium Edition"
McGraw-Hill Professional Publishing,10/28/16,Christopher Freiler,"Freiler, AP Achiever Exam Prep Guide European History, (C) 2017, 2e, Student Edition"
Whitefort Publishing,7/13/15,Duncan Simpson,"The History of Things to Come (The Dark Horizon Trilogy, #1)"
Quirk Publishing,10/4/16,Sam Maggs,"Wonder Women: 25 Innovators, Inventors, and Trailblazers Who Changed History"
Orbit,9/5/17,Louisa Morgan,A Secret History of Witches
Random House Publishing Group,10/28/87,Malcolm X,The Autobiography of Malcolm X
"Scholastic, Inc.",10/20/17,British Library,Harry Potter: A Journey Through a History of Magic
Penguin Young Readers Group,3/6/18,Chelsea Clinton,She Persisted Around the World: 13 Women Who Changed History
Random House Publishing Group,1/30/18,Ronen Bergman,Rise and Kill First: The Secret History of Israel's Targeted Assassinations
"New Word City, Inc.",1/27/16,Robert G. Ahearn,American Heritage History of Early America: 1492-1776
Random House Publishing Group,10/28/96,Stephen Hawking,The Illustrated A Brief History of Time
Random House Children's Books,2/13/18,Rosalyn Eves,Blood Rose Rebellion (Blood Rose Rebellion Series #1)
Simon & Schuster,1/10/12,Ray Bradbury,Fahrenheit 451
Penguin Publishing Group,3/20/18,Mitch Landrieu,In the Shadow of Statues: A White Southerner Confronts History
Crown/Archetype,6/5/12,Ernest Cline,Ready Player One
HarperCollins Publishers,11/17/15,Howard Zinn,A People's History of the United States
Random House Publishing Group,9/28/98,Stephen Hawking,A Brief History of Time: From the Big Bang to Black Holes
Pocket Books,4/30/02,Jude Deveraux,The Summerhouse (Summerhouse Series #1)
"Barron's Educational Series, Incorporated",8/1/16,Eugene Resnick,"Barron's AP United States History, 3rd Edition"
"Barron's Educational Series, Incorporated",8/1/16,John McCannon,"Barron's AP World History, 7th Edition"
Lippincott Williams & Wilkins,9/5/16,Lynn S. Bickley,Bates' Guide to Physical Examination and History Taking / Edition 12
"Soho Press, Incorporated",2/6/18,Adam Silvera,History Is All You Left Me
Flatiron Books,10/18/16,Mark Frost,The Secret History of Twin Peaks
Knopf Doubleday Publishing Group,4/13/04,Donna Tartt,The Secret History
Knopf Doubleday Publishing Group,2/28/98,Katharine Graham,Personal History
Random House Children's Books,8/1/17,Princeton Review,"Cracking the AP U.S. History Exam 2018, Premium Edition"
Crown/Archetype,9/14/04,Bill Bryson,A Short History of Nearly Everything
Bantam Books,6/29/18,Stephen Hawking,The Illustrated A Brief History of Time / The Universe in a Nutshell (Barnes & Noble Collectible Editions)
Random House Publishing Group,8/26/03,J. R. R. Tolkien,The Histories of Middle-earth Box Set
"Grove/Atlantic, Inc.",11/7/17,Emily Fridlund,History of Wolves
Seven Stories Press,6/2/09,Howard Zinn,A Young People's History of the United States
"Abrams, Harry N., Inc.",4/7/15,Ian Whitelaw,The History of Fly-Fishing in Fifty Flies
Yale University Press,9/30/08,E. H. Gombrich,A Little History of the World
"Barron's Educational Series, Incorporated",8/15/15,John B. Nici M.A.,"Barron's AP Art History, 3rd Edition"
"Barron's Educational Series, Incorporated",9/1/16,Kate Caporusso M.S.,"Barron's AP World History Flash Cards, 3rd Edition"
"Norton, W. W. & Company, Inc.",4/24/06,Nicole Krauss,The History of Love
Metro Books,7/10/15,Emma Marriott,A History of the World in Numbers
Knopf Doubleday Publishing Group,7/7/15,Jill Lepore,The Secret History of Wonder Woman
Barnes & Noble,4/1/06,Thucydides,The History of the Peloponnesian War (Barnes & Noble Classics Series)
Simon & Schuster,2/16/10,Will Durant,The Lessons of History
Portable Press,6/14/16,Bathroom Readers' Institute,Strange History
Random House Children's Books,9/26/17,Jared Reck,A Short History of the Girl Next Door
DK,10/3/17,Dorling Kindersley Publishing Staff,Big History (B&N Exclusive Compact Edition)
"Barron's Educational Series, Incorporated",3/1/16,Kevin D. Preis Ed.M.,"Barron's AP US History Flash Cards, 3rd Edition"
Beacon Press,8/11/15,Roxanne Dunbar-Ortiz,An Indigenous Peoples' History of the United States
Bloomsbury USA,5/16/06,Tom Standage,History of the World in 6 Glasses
Research & Education Association,9/28/16,Jay P. Harmon,"AP® World History Crash Course, 2nd Ed., Book + Online"
Penguin Young Readers Group,6/30/15,Mad Libs,History of the World Mad Libs
Sterling,10/2/12,American Museum of Natural History,Spot the Animals: A Lift-the-Flap Book of Colors
Pearson,12/26/12,H. H. Arnason,History of Modern Art (Paperback) / Edition 7
Research & Education Association,2/10/16,Larry Krieger,"AP® European History Crash Course, 2nd Ed., Book + Online / Edition 2"
Abbeville Publishing Group,1/29/08,Naomi Rosenblum,A World History of Photography / Edition 4
Random House Publishing Group,9/10/13,Stephen Hawking,My Brief History
Random House Children's Books,9/26/17,Candace Fleming,Ben Franklin's in My Bathroom! (History Pals Series #1)
Penguin Publishing Group,10/25/16,Richard Kurin,The Smithsonian's History of America in 101 Objects
Taylor & Francis,7/28/15,Arthur Goldschmidt Jr.,A Concise History of the Middle East / Edition 11
"Barron's Educational Series, Incorporated",8/15/16,David Phillips,Barron's AP European History Flash Cards
College Board,9/5/17,The College Board,The Official SAT Subject Test in U.S. History Study Guide
Amber Books,11/21/16,Amber Books,Battles That Changed History
Running Press Book Publishers,1/28/08,Malachy McCourt,Malachy McCourt's History of Ireland (paperback)
Hachette Books,10/10/17,Chuck D,Chuck D Presents This Day in Rap and Hip-Hop History
Touchstone,10/28/67,Bertrand Russell,History of Western Philosophy
Research & Education Association,2/28/17,Larry Krieger,"AP® U.S. History Crash Course, 4th Ed., Book + Online"
Penguin Publishing Group,9/8/15,Marlon James,A Brief History of Seven Killings
DK,8/19/13,Dorling Kindersley Publishing Staff,History Year by Year
Taylor & Francis,8/2/16,William L. Cleveland,A History of the Modern Middle East / Edition 6
