Publisher,Time,Author,Language,Title
CareerCup; 6th edition,,Gayle Laakmann McDowell,English,Cracking the Coding Interview: 189 Programming Questions and Solutions
"Farrar, Straus and Giroux; 1st edition","April 2, 2013",Daniel Kahneman,English,"Thinking, Fast and Slow"
Riverhead Books,"January 9, 2018",Daniel H. Pink,English,When: The Scientific Secrets of Perfect Timing
Project Management Institute; 6 edition,"September 22, 2017",Project Management Institute,English,A Guide to the Project Management Body of Knowledge (PMBOK® Guide)Sixth Edition
"Plata Publishing; Anniversary, Updated edition","April 11, 2017",Robert T. Kiyosaki,English,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!
McGraw-Hill Education; 2 edition,"September 9, 2011",Kerry Patterson,English,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition"
Portfolio; Reprint edition,"December 27, 2011",Simon Sinek,English,Start with Why: How Great Leaders Inspire Everyone to Take Action
Random House Trade Paperbacks,"January 7, 2014",Charles Duhigg,English,The Power of Habit: Why We Do What We Do in Life and Business
Penguin Books; 1st edition,"September 1, 2000",Robert Greene,English,The 48 Laws of Power
"HarperBusiness; Revised, Subsequent edition","February 21, 2006",Benjamin Graham,English,The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition) (Collins Business Essentials)
Avery; Reprint edition,"April 7, 2015",Brené Brown,English,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
St. Martin's Press; 1 edition,"March 14, 2017",Kim Scott,English,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity
Project Management Institute; Sixth edition edition,"September 22, 2017",Project Management Institute,English,A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide-Sixth Edition / Agile Practice Guide Bundle (Pmbok Guide)
"Portfolio; Reprint, Revised edition","May 23, 2017",Simon Sinek,English,Leaders Eat Last: Why Some Teams Pull Together and Others Don't
