Publisher,Time,Author,Language,Title
Wizards of the Coast; 5th edition,"December 9, 2014",Wizards RPG Team,English,Dungeon Master's Guide (D&D Core Rulebook)
Workman Publishing Company; 5 edition,"May 31, 2016",Heidi Murkoff,English,What to Expect When You're Expecting
New Harbinger Publications/ Noetic Books; 1 edition,,Michael A. Singer,English,The Untethered Soul: The Journey Beyond Yourself
"Hay House, Inc.; 1 edition","November 7, 2017",Anthony William,English,"Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr"
"TalentSmart; Enhanced, New edition","June 16, 2009",Travis Bradberry,English,Emotional Intelligence 2.0
Amber-Allen Publishing,"November 7, 1997",Don Miguel Ruiz,English,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)
Houghton Mifflin Harcourt,"December 5, 2017",Melissa Hartwig,English,The Whole30 Fast & Easy Cookbook: 150 Simply Delicious Everyday Recipes for Your Whole30
Victory Belt Publishing; 1 edition,"December 12, 2017",Suzanne Ryan,English,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes"
Harmony; 1 edition,"March 13, 2018",Eric Zielinski D.C.,English,"The Healing Power of Essential Oils: Soothe Inflammation, Boost Mood, Prevent Autoimmunity, and Feel Great in Every Way"
Wizards of the Coast; 9 edition,"September 30, 2014",Wizards RPG Team,English,Monster Manual (D&D Core Rulebook)
Rockridge Press,"December 20, 2016",Amy Ramos,English,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle
Victory Belt Publishing,"April 11, 2017",Leanne Vogel,English,"The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence"
Random House,"February 6, 2018",Kate Bowler,English,Everything Happens for a Reason: And Other Lies I've Loved
Atria Books,"July 15, 2014",JJ Smith,English,10-Day Green Smoothie Cleanse
Flatiron Books; 1 edition,"December 8, 2015",Gene Stone,English,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease
Hazelden Publishing; 1 edition,"August 27, 2010",Brené Brown,English,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are
"Ballantine Books; Reprint, Updated edition","December 26, 2007",Carol S. Dweck,English,Mindset: The New Psychology of Success
Worthy Publishing,"September 5, 2017",Don Colbert,English,"Dr. Colbert's Keto Zone Diet: Burn Fat, Balance Appetite Hormones, and Lose Weight"
Random House; F First Edition edition,"September 12, 2017",Brené Brown,English,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone
HarperOne,"August 1, 2017",Gary John Bishop,English,Unfu*k Yourself: Get Out of Your Head and into Your Life
Grand Central Publishing,"April 4, 2017",William H. McRaven,English,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World
American Psychological Association (APA); 6th edition,,American Psychological Association,English,"Publication Manual of the American Psychological Association, 6th Edition"
Penguin Books; 1st edition,"September 1, 2000",Robert Greene,English,The 48 Laws of Power
Simon &amp; Schuster,"September 19, 2017",Tom Brady,English,The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance
Namaste Publishing,"August 19, 2004",Eckhart Tolle,English,The Power of Now: A Guide to Spiritual Enlightenment
Harper Wave; 1 edition,"March 20, 2018",Max Lugavere,English,"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life"
Beacon Press; 1 edition,"June 1, 2006",Viktor E. Frankl,English,Man's Search for Meaning
