Publisher,Time,Author,Language,Title
Princeton Review; Premium edition,"August 1, 2017",Princeton Review,English,"Cracking the AP U.S. History Exam 2018, Premium Edition (College Test Preparation)"
Simon &amp; Schuster; Reprint edition,"October 20, 2015",Bill Browder,English,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice"
Knopf,"January 30, 2018",Dave Eggers,English,The Monk of Mokha
Liveright; 1 edition,,Richard Rothstein,English,The Color of Law: A Forgotten History of How Our Government Segregated America
HarperOne; 1st Edition edition,"February 27, 2018",N. T. Wright,English,Paul: A Biography
Vintage; Reprint edition,"August 21, 2007",Lawrence Wright,English,The Looming Tower: Al-Qaeda and the Road to 9/11
Harper; 1st Edition edition,"February 21, 2017",Yuval Noah Harari,English,Homo Deus: A Brief History of Tomorrow
Harper; 1st Edition edition,"January 16, 2018",David Frum,English,Trumpocracy: The Corruption of the American Republic
Hill and Wang,"January 16, 2006",Elie Wiesel,English,Night (Night)
Knopf; 1 edition,"March 11, 2013",Sheryl Sandberg,English,"Lean In: Women, Work, and the Will to Lead"
Princeton Review; Premium edition,"August 1, 2017",Princeton Review,English,"Cracking the AP World History Exam 2018, Premium Edition (College Test Preparation)"
Harper Perennial Modern Classics; Reissue edition,,Howard Zinn,English,A People's History of the United States
Vintage,"February 1, 1994",Truman Capote,English,In Cold Blood
Penguin Press,"March 6, 2018",Ryan H. Walsh,English,Astral Weeks: A Secret History of 1968
Twelve; 1 edition,"May 24, 2016",Sebastian Junger,English,Tribe: On Homecoming and Belonging
Riverhead Books,"February 20, 2018",Joel Richard Paul,English,Without Precedent: Chief Justice John Marshall and His Times
Penguin Books,"May 27, 2014",Daniel James Brown,English,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Anchor Books; 1 edition,"January 20, 1997",Jon Krakauer,English,Into the Wild
Penguin Press,"January 16, 2018",Niall Ferguson,English,"The Square and the Tower: Networks and Power, from the Freemasons to Facebook"
St. Martin's Press; First Edition edition,"January 30, 2018",J. Randy Taraborrelli,English,"Jackie, Janet & Lee: The Secret Lives of Janet Auchincloss and Her Daughters, Jacqueline Kennedy Onassis and Lee Radziwill"
Broadway Books,"March 8, 2011",Rebecca Skloot,English,The Immortal Life of Henrietta Lacks
Vintage,"February 10, 2004",Erik Larson,English,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
Knopf,"February 27, 2018",John Banville,English,Time Pieces: A Dublin Memoir
Touchstone,"October 13, 2015",Clint Emerson,English,"100 Deadly Skills: The SEAL Operative’s Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation"
Vintage; Reprint edition,"February 12, 2013",Jonathan Haidt,English,The Righteous Mind: Why Good People Are Divided by Politics and Religion
