ID,Publisher,Time,Author,Title
1,Credo Books Inc.,11/13/17,Corey P Smith,UnBreakable Laws of Business Credit
2,Wiley,4/27/15,Consumer Dummies,Starting a Business All-In-One For Dummies
3,HarperCollins Publishers,2/21/06,Benjamin Graham,The Intelligent Investor Rev Ed.
4,Wiley,12/27/11,Eric Tyson,Small Business For Dummies
5,Harvard Business Review Press,2/7/17,Clayton M. Christensen,How Will You Measure Your Life? (Harvard Business Review Classics)
6,McGraw-Hill Higher Education,1/9/15,Susan McHugh,Understanding Business / Edition 11
7,Cengage Learning,1/15/16,William M. Pride,Foundations of Business / Edition 5
8,Microsoft Press,12/23/16,Wayne Winston,Microsoft Excel Data Analysis and Business Modeling / Edition 5
9,Kensington,4/29/14,Carl Weber,The Family Business 2
10,Kensington,8/28/13,Carl Weber,The Family Business
11,PassKey Publications INC,3/15/18,Richard Gramkow,"PassKey Learning Systems EA Review Complete: Individuals, Businesses, and Representation: Enrolled Agent Exam Study Guide 2018-2019 Edition (HARDCOVER)"
12,McGraw-Hill Higher Education,3/1/13,Joseph R. DesJardins,An Introduction to Business Ethics / Edition 5
13,Random House Children's Books,2/28/93,Barbara Park,Junie B. Jones and a Little Monkey Business (Junie B. Jones Series #2)
14,Harvard Business Review Press,1/3/11,Harvard Business Review,HBR's 10 Must Reads on Leadership
15,Kensington,7/28/15,Carl Weber,The Family Business 3
16,Random House Publishing Group,1/7/14,Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business
17,Silhouette,11/1/17,Nora Roberts,Risky Business: A Passionate Novel of Suspense
18,HarperCollins Publishers,1/29/13,Herman Parish,Amelia Bedelia Means Business (Amelia Bedelia Chapter Book Series #1)
19,HarperCollins Publishers,7/26/16,Peter Schweizer,Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich
20,Penguin Publishing Group,10/6/15,Bob Burg,"The Go-Giver, Expanded Edition: A Little Story About a Powerful Business Idea"
21,SAGE Publications,10/23/15,Peter A. Stanwick,Understanding Business Ethics / Edition 3
22,McGraw-Hill Professional Publishing,8/31/15,Michael Geringer,International Business / Edition 1
23,Pearson,1/19/16,Ronald J. Ebert,Business Essentials / Edition 11
24,Wiley,1/30/17,Shannon Belew,Starting an Online Business All-in-One For Dummies
25,Pearson,1/21/16,Courtland L. Bovee,Business in Action / Edition 8
26,International Institute of Business Analysis,4/15/15,IIBA,A Guide to the Business Analysis Body of Knowledge® (BABOK® Guide) / Edition 3
27,Cengage Learning,1/1/15,Mary Ellen Guffey,"Essentials of Business Communication (with Premium Website, 1 Term (6 Months) Printed Access Card) / Edition 10"
28,Down & Out Books,4/30/18,Lawrence Kelter,The Black Car Business Volume 1
29,Wiley,11/11/13,Louis E. Boone,Essentials of Contemporary Business / Edition 1
30,Random House Publishing Group,5/21/13,Janet Evanovich,Wicked Business (Lizzy and Diesel Series #2)
31,Simon & Schuster,1/25/96,Peter Lynch,Learn to Earn; A Beginner's Guide to the Basics of Investing and Business
32,McGraw-Hill Professional Publishing,2/1/17,Charles W. L. Hill,Global Business Today / Edition 10
33,University of Chicago Press,3/19/18,Jane Friedman,The Business of Being a Writer
34,McGraw-Hill Higher Education,12/26/14,Laura P. Hartman,Employment Law for Business / Edition 8
35,West Academic,3/2/15,William Klein,"Business Associations, Cases and Materials on Agency, Partnerships, and Corporations / Edition 9"
36,"C C H, Incorporated",12/14/16,Linda M. Johnson,Essentials of Federal Income Taxation for Individuals and Business
37,Harvard Business Review Press,4/4/17,Harvard Business Review,HBR's 10 Must Reads Boxed Set with Bonus Emotional Intelligence (7 Books) (HBR's 10 Must Reads)
38,PRH Grupo Editorial,8/29/17,Robert T. Kiyosaki,El negocio del siglo 21 / The Business of the 21st Century
39,Penguin Publishing Group,3/1/05,Robert B. Parker,Bad Business (Spenser Series #31)
40,Taylor & Francis,7/30/14,Paul Allen,Artist Management for the Music Business / Edition 3
41,Pearson,1/13/15,James R. Evans,Business Analytics / Edition 2
42,Cengage Learning,12/5/16,Gerald E. Whittenburg,Income Tax Fundamentals 2017 (with H&R Block Premium & Business Access Code for Tax Filing Year 2016) / Edition 35
43,Cengage Learning,2/15/12,Loretta Barker,Business Skills Exercises / Edition 5
44,Harvard Business Review Press,6/5/03,Harvard Business Review,Negotiation (Harvard Business Essentials Series)
45,Entrepreneur Press,3/27/18,Inc. The Staff of Entrepreneur Media,Ultimate Guide to YouTube for Business
46,Harvard Business Review Press,2/7/17,Richard S. Ruback,HBR Guide to Buying a Small Business (HBR Guide Series)
47,Chicago Business Press,2/28/17,O.C. Ferrell,Business and Society
48,Pearson,8/4/11,Ravi Anupindi,Managing Business Process Flows / Edition 3
49,"Little, Brown Books for Young Readers",4/28/93,Marc Brown,Arthur's Pet Business (Arthur Adventures Series)
50,Beta Nu Publishing,9/19/14,Lawrence Revere,Playing Blackjack as a Business
51,Wiley,12/4/13,Eric Tyson,Small Business Taxes For Dummies
52,"Barron's Educational Series, Incorporated",5/1/12,Jack P. Friedman Ph.D. C.P.A.,Dictionary of Business and Economics Terms
53,G.P. Putnam's Sons; Reprint edition,2/6/18,Jill Santopolo,The Light We Lost
54,Wiley,8/28/17,Kate Shoup,Starting an Etsy Business For Dummies
55,Hal Leonard Corporation,11/15/16,Kenny Aronoff,"Sex, Drums, Rock n Roll! - The Hardest Hitting Man in Show Business"
56,DK,4/14/15,Alexandra Black,How Business Works
57,Entrepreneur Press,5/16/17,Kim Walsh Phillips,Ultimate Guide to Instagram for Business
58,Scribner,9/30/04,F. Scott Fitzgerald,The Great Gatsby
59,Pearson,1/17/10,Ernest F. Haeussler,"Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences / Edition 13"
60,Cengage Learning,12/8/08,Howard Podeswa,The Business Analyst's Handbook / Edition 1
61,Harvard Business Review Press,12/5/17,Harvard Business Review,Influence and Persuasion (HBR Emotional Intelligence Series)
62,Harvard Business Review Press,4/18/17,Harvard Business Review,Harvard Business Review Emotional Intelligence Collection (4 Books) (HBR Emotional Intelligence Series)
63,Wiley,2/18/13,Teresa Bradley,Essential Mathematics for Economics and Business / Edition 4
64,Penguin Publishing Group,1/28/01,Robertson Davies,Fifth Business
