ID,Publisher,Time,Author,Title
1,Del Rey,3/6/18,Jason Fry,The Last Jedi: Expanded Edition (Star Wars)
2,Harper Perennial Modern Classics,7/5/05,Harper Lee,To Kill a Mockingbird
3,Anchor; 1st Anchor Books edition,3/16/98,Margaret Atwood,The Handmaid's Tale
4,G.P. Putnam's Sons; First Edition edition,1/9/18,Chloe Benjamin,The Immortalists
5,Doubleday; First Edition edition,10/3/17,Dan Brown,Origin: A Novel
6,Independently published,10/22/17,Adam Gasiewski,Milk and Vine: Inspirational Quotes From Classic Vines
7,Penguin Books; Reprint edition,1/2/18,Georgia Hunter,We Were the Lucky Ones: A Novel
8,St. Martin's Griffin; Reprint edition,4/25/17,Kristin Hannah,The Nightingale: A Novel
9,"Tyndale House Publishers, Inc.",3/6/18,Joel C. Rosenberg,The Kremlin Conspiracy
10,Simon &amp; Schuster; Reissue edition,1/10/12,Ray Bradbury,Fahrenheit 451
11,Grand Central Publishing; Reprint edition,11/14/17,Min Jin Lee,Pachinko (National Book Award Finalist)
12,Scribner,5/22/18,Stephen King,The Outsider
13,Scribner; First Edition/First Printing edition,9/5/17,Jesmyn Ward,"Sing, Unburied, Sing: A Novel"
14,Grand Central Publishing; First Edition edition,4/12/16,Lin-Manuel Miranda,Hamilton: The Revolution
15,Scribner; Reprint edition,4/4/17,Anthony Doerr,All the Light We Cannot See: A Novel
16,G.P. Putnam's Sons; Reprint edition,2/6/18,Jill Santopolo,The Light We Lost
17,Akashic Books; 1st edition,6/14/11,Adam Mansbach,Go the F**k to Sleep
18,St. Martin's Press,1/9/18,Greer Hendricks,The Wife Between Us: A Novel
19,"Tyndale House Publishers, Inc.",2/6/18,Francine Rivers,The Masterpiece
20,Pamela Dorman Books,1/30/18,Jojo Moyes,Still Me: A Novel
21,FSG Originals; First Edition edition,2/4/14,Jeff VanderMeer,Annihilation: A Novel (The Southern Reach Trilogy)
22,CreateSpace Independent Publishing Platform,11/19/17,r.h. Sin,I hope this reaches her in time
23,Ballantine Books; Reprint edition,2/28/17,Martha Hall Kelly,Lilac Girls: A Novel
24,William Morrow Paperbacks,6/6/17,Kate Quinn,The Alice Network: A Novel
25,Scribner,9/30/04,F. Scott Fitzgerald,The Great Gatsby
26,Random House; 1st edition,1/27/09,Dr. Seuss,You're Only Old Once!: A Book for Obsolete Children
27,Ballantine Books; Reprint edition,2/20/18,Jodi Picoult,Small Great Things: A Novel
28,Vintage; Box edition,6/12/12,E L James,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)
29,William Morrow Paperbacks; Reprint edition,3/6/18,Balli Kaur Jaswal,Erotic Stories for Punjabi Widows: A Novel
30,G.P. Putnam's Sons,11/13/18,Janet Evanovich,Look Alive Twenty-Five: A Stephanie Plum Novel
31,Random House Trade Paperbacks; Reprint edition,2/6/18,George Saunders,Lincoln in the Bardo: A Novel
32,Doubleday,3/13/18,Chris Bohjalian,The Flight Attendant: A Novel
33,Delacorte Press,11/5/18,Lee Child,Past Tense: A Jack Reacher Novel
34,Bookouture,2/24/17,Kerry Fisher,The Silent Wife: A gripping emotional page turner with a twist that will take your breath away
35,Riverhead Books; Reprint edition,2/27/18,Mohsin Hamid,Exit West: A Novel
36,Viking,3/20/18,Elizabeth George,The Punishment She Deserves: A Lynley Novel
37,Grand Central Publishing,4/17/18,David Baldacci,The Fallen (Memory Man series)
38,Washington Square Press; Reprint edition,2/6/18,Fredrik Backman,Beartown: A Novel
39,Pamela Dorman Books; F First Edition edition,5/9/17,Gail Honeyman,Eleanor Oliphant Is Completely Fine: A Novel
40,Scribner,2/13/18,Jason Matthews,The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy)
41,"Little, Brown and Company",2/19/18,James Patterson,Fifty Fifty (Harriet Blue)
42,FSG Originals; First Edition edition,11/18/14,Jeff VanderMeer,Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance
43,Image Comics,3/13/18,Robert Kirkman,The Walking Dead Volume 29: Lines We Cross
44,Signet Classic,7/1/50,George Orwell,1984 (Signet Classics)
45,G.P. Putnam's Sons,3/13/18,Clive Cussler,The Rising Sea (The NUMA Files)
46,Ace,3/6/18,Patricia Briggs,Burn Bright (Alpha and Omega)
47,Spiegel &amp; Grau; 1 edition,7/14/15,Ta-Nehisi Coates,Between the World and Me
48,Scribner; Reprint edition,6/13/17,Jason Matthews,Palace of Treason: A Novel (The Red Sparrow Trilogy)
49,HarperCollins; 1st edition,2/18/14,Shel Silverstein,Where the Sidewalk Ends: Poems and Drawings
50,FSG Originals; First Printing edition,5/6/14,Jeff VanderMeer,Authority: A Novel (The Southern Reach Trilogy)
51,Vintage,11/28/17,E L James,Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey)
52,Bantam; Media Tie In edition,10/29/13,George R. R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons
53,Washington Square Press; Reprint edition,5/5/15,Fredrik Backman,A Man Called Ove: A Novel
54,Penguin Books; Reprint edition,5/12/15,Celeste Ng,Everything I Never Told You
55,G.P. Putnam's Sons,3/27/18,C. J. Box,The Disappeared (A Joe Pickett Novel)
56,FSG Originals; First Edition edition,9/2/14,Jeff VanderMeer,Acceptance: A Novel (The Southern Reach Trilogy)
57,Anchor; Reprint edition,1/30/16,Colson Whitehead,The Underground Railroad: A Novel
58,"Little, Brown and Company; F First Edition edition",10/10/17,Naomi Alderman,The Power
59,Atria / 37 INK,3/6/18,Cleo Wade,Heart Talk: Poetic Wisdom for a Better Life
60,Doubleday; 1st Edition edition,10/24/17,John Grisham,The Rooster Bar
61,Mariner Books,10/13/09,Tim O'Brien,The Things They Carried
62,HarperOne; Revised &amp; Enlarged edition,4/21/15,C. S. Lewis,Mere Christianity
63,Del Rey; 1st edition,3/4/03,Richard K. Morgan,Altered Carbon (Takeshi Kovacs)
64,"Little, Brown and Company; 1st Edition edition",3/6/18,Luis Alberto Urrea,The House of Broken Angels
65,"Little, Brown and Company",5/1/91,J.D. Salinger,The Catcher in the Rye
66,Crown; F First Edition edition,11/14/17,Andy Weir,Artemis: A Novel
67,Tor Books,11/14/17,Brandon Sanderson,Oathbringer: Book Three of the Stormlight Archive
68,Penguin Books; Reprint edition,5/30/17,Shari Lapena,The Couple Next Door: A Novel
69,Scribner; Media Tie-In edition,9/5/17,Stephen King,It: A Novel
70,HarperCollins Narnia; Media Tie In edition,10/19/10,C. S. Lewis,Chronicles of Narnia Box Set
71,Scribner; First Edition edition,10/3/17,Jennifer Egan,Manhattan Beach: A Novel
72,Speak; Platinum ed. edition,4/20/06,S. E. Hinton,The Outsiders
73,Knopf,3/13/18,Alan Hollinghurst,The Sparsholt Affair
74,Del Rey,9/25/12,J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the
75,Vintage; Reprint edition,5/2/17,Yaa Gyasi,Homegoing
76,"Farrar, Straus and Giroux; 1st Edition edition",2/20/18,Marilynne Robinson,What Are We Doing Here?: Essays
77,Penguin Books; Reissue edition,12/16/03,William Golding,Lord of the Flies
78,Delacorte Press,3/20/18,Danielle Steel,Accidental Heroes: A Novel
79,Random House Trade Paperbacks; Media Tie In edition,11/21/17,Caleb Carr,The Alienist (TNT Tie-in Edition): A Novel
80,Delacorte Press,3/6/18,Karen Marie Moning,High Voltage (Fever)
81,Vintage,6/18/15,E L James,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)
82,Alfred A. Knopf; Reprint edition,9/11/07,Markus Zusak,The Book Thief
83,Gallery/Scout Press; Reprint edition,4/11/17,Ruth Ware,The Woman in Cabin 10
84,Houghton Mifflin Harcourt; 1 edition,6/1/03,George Orwell,Animal Farm: 1984
85,Baen,10/2/18,David Weber,Uncompromising Honor (Honor Harrington)
86,HarperOne; Reprint edition,4/21/15,C. S. Lewis,The Screwtape Letters
87,Random House,2/13/18,Amy Bloom,White Houses: A Novel
88,Penguin Books; Reissue edition,9/1/93,John Steinbeck,Of Mice and Men
89,Harper Perennial; Reprint edition,10/17/06,Aldous Huxley,Brave New World
90,Berkley; Reprint edition,8/11/15,Liane Moriarty,Big Little Lies
91,Feiwel &amp; Friends,3/6/18,Daniel Kraus,The Shape of Water
92,"Little, Brown and Company",4/30/18,James Patterson,The 17th Suspect (Women's Murder Club)
93,William Morrow,2/20/18,Laura Lippman,Sunburn: A Novel
94,Adam Gasiewski,1/18/18,Adam Gasiewski,Milk and Vine II
95,Harper; First Edition edition,10/17/17,Liv Constantine,The Last Mrs. Parrish: A Novel
96,Scholastic Paperbacks,9/11/01,J.K. Rowling,Harry Potter and the Prisoner of Azkaban
97,Simon &amp; Schuster,2/6/18,Lisa Halliday,Asymmetry: A Novel
98,Scholastic Paperbacks,7/30/02,J.K. Rowling,Harry Potter And The Goblet Of Fire
99,Anchor,3/4/14,Chimamanda Ngozi Adichie,Americanah
100,G.P. Putnam's Sons,4/24/18,John Sandford,Twisted Prey (A Prey Novel)
101,Anchor; Reprint edition,5/20/14,Kevin Kwan,Crazy Rich Asians
102,Dutton,2/6/18,Lisa Gardner,Look for Me (D. D. Warren)
103,G.P. Putnam's Sons,11/6/18,Clive Cussler,Celtic Empire (Dirk Pitt Adventure)
104,Vintage,2/1/94,Truman Capote,In Cold Blood
105,W. W. Norton &amp; Company; Reprint edition,3/6/18,Neil Gaiman,Norse Mythology
106,G.P. Putnam's Sons,3/13/18,Randy Wayne White,Caribbean Rim (A Doc Ford Novel)
107,Ballantine Books,2/13/18,Jonathan Kellerman,Night Moves: An Alex Delaware Novel
108,Lake Union Publishing,2/20/18,Rhys Bowen,The Tuscan Child
109,Dover Publications,,Marcus Aurelius,Meditations (Dover Thrift Editions)
110,Zondervan,3/6/18,Terri Blackstock,If I Live (If I Run Series)
