_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publisher,ltable_Time,rtable_Title,rtable_Author,rtable_Publisher,rtable_Time
113,64,3183,The House of Broken Angels,Luis Alberto Urrea,"Little, Brown and Company; 1st Edition edition",3/6/2018,The House of Broken Angels,Luis Alberto Urrea,"Little, Brown and Company",3/6/2018
200,125,84,The Terminal List: A Thriller,Jack Carr,Atria/Emily Bestler Books,3/6/2018,The Terminal List: A Thriller,Jack Carr,Atria/Emily Bestler Books,3/6/2018
569,624,1935,A Brush with Shadows (A Lady Darby Mystery),Anna Lee Huber,Berkley,3/6/2018,"The Rock, the Road, and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began",Kathie Lee Gifford,"Nelson, Thomas, Inc.",3/6/2018
686,966,1718,Astral Weeks: A Secret History of 1968,Ryan H. Walsh,Penguin Press,3/6/2018,Astral Weeks: A Secret History of 1968,Ryan H. Walsh,Penguin Publishing Group,3/6/2018
931,1375,1951,Christianity at the Crossroads: How the Second Century Shaped the Future of the Church,Michael J. Kruger,IVP Academic,3/6/2018,All the Beautiful Girls: A Novel,Elizabeth J. Church,Random House Publishing Group,3/6/2018
1082,2429,372,Radical Inclusion: What the Post-9/11 World Should Have Taught Us About Leadership,Martin Dempsey,Missionday,3/6/2018,Radical Inclusion: What the Post-9/11 World Should Have Taught Us About Leadership,Martin Dempsey,Missionday,3/6/2018
1171,2518,1951,Meet the Frugalwoods: Achieving Financial Independence Through Simple Living,Elizabeth Willard Thames,HarperBusiness,3/6/2018,All the Beautiful Girls: A Novel,Elizabeth J. Church,Random House Publishing Group,3/6/2018
1338,669,2168,The Eyes of the Dragon: A Novel,Stephen King,Gallery Books; Reprint edition,1/9/2018,The Eyes of the Dragon: A Novel,Stephen King,Gallery Books,1/9/2018
1433,2236,957,"The Dental Diet: The Surprising Link between Your Teeth, Real Food, and Life-Changing Natural Health",Steven Lin,"Hay House, Inc.",1/9/2018,"The Dental Diet: The Surprising Link between Your Teeth, Real Food, and Life-Changing Natural Health",Steven Lin,"Hay House, Inc.",1/9/2018
1442,2272,907,"Get Off Your Acid: 7 Steps in 7 Days to Lose Weight, Fight Inflammation, and Reclaim Your Health and Energy",Daryl Gioffre,Da Capo Lifelong Books,1/9/2018,"Get Off Your Acid: 7 Steps in 7 Days to Lose Weight, Fight Inflammation, and Reclaim Your Health and Energy",Daryl Gioffre,Da Capo Press,1/9/2018
1569,71,3202,Manhattan Beach: A Novel,Jennifer Egan,Scribner; First Edition edition,10/3/2017,Manhattan Beach,Jennifer Egan,Scribner,10/3/2017
1624,160,3206,Her Body and Other Parties: Stories,Carmen Maria Machado,Graywolf Press; 1st Edition edition,10/3/2017,Her Body and Other Parties,Carmen Maria Machado,Graywolf Press,10/3/2017
1643,164,2123,All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,A Thomas Dunne Book for St. Martin's Griffin; Reprint edition,10/3/2017,All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,St. Martin's Press,10/3/2017
1654,164,3251,All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,A Thomas Dunne Book for St. Martin's Griffin; Reprint edition,10/3/2017,All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,St. Martin's Press,10/3/2017
1733,747,3245,The Best American Short Stories 2017 (The Best American Series Â®),Meg Wolitzer,Mariner Books,10/3/2017,The Best American Short Stories 2017,Meg Wolitzer,Houghton Mifflin Harcourt,10/3/2017
1763,846,3290,Paris in the Present Tense: A Novel,Mark Helprin,The Overlook Press; First Edition edition,10/3/2017,Paris in the Present Tense,Mark Helprin,The Overlook Press,10/3/2017
1799,1094,1585,Victoria: The Queen: An Intimate Biography of the Woman Who Ruled an Empire,Julia Baird,Random House Trade Paperbacks; Reprint edition,10/3/2017,"Tenements, Towers and Trash: An Unconventional Illustrated History of New York City",Julia Wertz,Running Press Book Publishers,10/3/2017
1824,1113,1537,The Future Is History: How Totalitarianism Reclaimed Russia,Masha Gessen,Riverhead Books; First Edition edition,10/3/2017,The Future Is History: How Totalitarianism Reclaimed Russia,Masha Gessen,Penguin Publishing Group,10/3/2017
1989,1712,1633,Ghostland: An American History in Haunted Places,Colin Dickey,Penguin Books; Reprint edition,10/3/2017,Ghostland: An American History in Haunted Places,Colin Dickey,Penguin Publishing Group,10/3/2017
2060,1819,3290,The Keto Reset Diet: Reboot Your Metabolism in 21 Days and Burn Fat Forever,Mark Sisson,Harmony; 1 edition,10/3/2017,Paris in the Present Tense,Mark Helprin,The Overlook Press,10/3/2017
2062,1879,514,The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Simon &amp; Schuster,10/3/2017,The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Simon &amp; Schuster,10/3/2017
2118,1900,866,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health",Carolyn Ketchum,Victory Belt Publishing,10/3/2017,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health",Carolyn Ketchum,Victory Belt Publishing,10/3/2017
2197,2427,514,The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Simon &amp; Schuster,10/3/2017,The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,Simon &amp; Schuster,10/3/2017
2257,2943,1571,Things Are What You Make of Them: Life Advice for Creatives,Adam J. Kurtz,TarcherPerigee,10/3/2017,A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes,Adam Rutherford,"Experiment, The",10/3/2017
2263,2943,1929,Things Are What You Make of Them: Life Advice for Creatives,Adam J. Kurtz,TarcherPerigee,10/3/2017,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter Series #3),J. K. Rowling,"Scholastic, Inc.",10/3/2017
2269,2943,2480,Things Are What You Make of Them: Life Advice for Creatives,Adam J. Kurtz,TarcherPerigee,10/3/2017,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition, Collector's Edition (Harry Potter Series #3)",J. K. Rowling,"Scholastic, Inc.",10/3/2017
2323,173,3215,The Women in the Castle: A Novel,Jessica Shattuck,William Morrow Paperbacks; Reprint edition,1/2/2018,The Women in the Castle,Jessica Shattuck,HarperCollins Publishers,1/2/2018
2369,795,1604,"Secrets in Death: An Eve Dallas Novel (In Death, Book 45)",J. D. Robb,St. Martin's Paperbacks; Reprint edition,1/2/2018,Secrets of the Secret Service: The History and Uncertain Future of the U.S. Secret Service,Gary J. Byrne,Center Street,1/2/2018
2380,849,3364,The Refugees,Viet Thanh Nguyen,Grove Press; Reprint edition,1/2/2018,The Refugees,Viet Thanh Nguyen,"Grove/Atlantic, Inc.",1/2/2018
2390,999,1604,Stalling for Time: My Life as an FBI Hostage Negotiator,Gary Noesner,Random House Trade Paperbacks; Reprint edition,1/2/2018,Secrets of the Secret Service: The History and Uncertain Future of the U.S. Secret Service,Gary J. Byrne,Center Street,1/2/2018
2413,1122,2451,CrÃ¦ft: An Inquiry Into the Origins and True Meaning of Traditional Crafts,Alexander Langlands,W. W. Norton &amp; Company; 1 edition,1/2/2018,Glass House: The 1% Economy and the Shattering of the All-American Town,Brian Alexander,Picador,1/2/2018
2425,1730,1604,Secrets of the Secret Service: The History and Uncertain Future of the U.S. Secret Service,Gary J. Byrne,Center Street,1/2/2018,Secrets of the Secret Service: The History and Uncertain Future of the U.S. Secret Service,Gary J. Byrne,Center Street,1/2/2018
2529,2978,256,"The Million-Dollar, One-Person Business: Make Great Money. Work the Way You Like. Have the Life You Want.",Elaine Pofeldt,Lorena Jones Books,1/2/2018,"The Million-Dollar, One-Person Business: Make Great Money. Work the Way You Like. Have the Life You Want.",Elaine Pofeldt,Potter/TenSpeed/Harmony,1/2/2018
2593,10,1285,Fahrenheit 451,Ray Bradbury,Simon &amp; Schuster; Reissue edition,1/10/2012,Fahrenheit 451,Ray Bradbury,Simon & Schuster,1/10/2012
2614,11,3192,Pachinko (National Book Award Finalist),Min Jin Lee,Grand Central Publishing; Reprint edition,11/14/2017,Pachinko,Min Jin Lee,Grand Central Publishing,11/14/2017
2759,13,1551,"Sing, Unburied, Sing: A Novel",Jesmyn Ward,Scribner; First Edition/First Printing edition,9/5/2017,The Vietnam War: An Intimate History,Geoffrey C. Ward,Knopf Doubleday Publishing Group,9/5/2017
2775,13,3204,"Sing, Unburied, Sing: A Novel",Jesmyn Ward,Scribner; First Edition/First Printing edition,9/5/2017,"Sing, Unburied, Sing",Jesmyn Ward,Scribner,9/5/2017
2932,746,3252,Sourdough: A Novel,Robin Sloan,MCD; First Edition edition,9/5/2017,Sourdough,Robin Sloan,"Farrar, Straus and Giroux",9/5/2017
3044,1072,1538,Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,Random House; First Edition edition,9/5/2017,Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,Random House Publishing Group,9/5/2017
3100,1342,1616,Defining Moments in Black History: Reading Between the Lies,Dick Gregory,Amistad,9/5/2017,Defining Moments in Black History: Reading Between the Lies,Dick Gregory,HarperCollins Publishers,9/5/2017
3137,1401,2719,The New Education: How to Revolutionize the University to Prepare Students for a World In Flux,Cathy N. Davidson,Basic Books; 1 edition,9/5/2017,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,Crown/Archetype,9/5/2017
3227,1497,1551,The Vietnam War: An Intimate History,Geoffrey C. Ward,Knopf; First Edition edition,9/5/2017,The Vietnam War: An Intimate History,Geoffrey C. Ward,Knopf Doubleday Publishing Group,9/5/2017
3243,1497,3204,The Vietnam War: An Intimate History,Geoffrey C. Ward,Knopf; First Edition edition,9/5/2017,"Sing, Unburied, Sing",Jesmyn Ward,Scribner,9/5/2017
3286,1583,1819,Israel: A Concise History of a Nation Reborn,Daniel Gordis,Ecco; Reprint edition,9/5/2017,Israel: A Concise History of a Nation Reborn,Daniel Gordis,HarperCollins Publishers,9/5/2017
3290,1583,2181,Israel: A Concise History of a Nation Reborn,Daniel Gordis,Ecco; Reprint edition,9/5/2017,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Beverly Daniel Tatum,Basic Books,9/5/2017
3306,1759,1560,The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,Josh Dean,Dutton,9/5/2017,The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,Josh Dean,Penguin Publishing Group,9/5/2017
3364,2128,1819,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Beverly Daniel Tatum,"Basic Books; Revised, Anniversary, Updated edition",9/5/2017,Israel: A Concise History of a Nation Reborn,Daniel Gordis,HarperCollins Publishers,9/5/2017
3368,2128,2181,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Beverly Daniel Tatum,"Basic Books; Revised, Anniversary, Updated edition",9/5/2017,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Beverly Daniel Tatum,Basic Books,9/5/2017
3390,2259,1819,"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,Avery,9/5/2017,Israel: A Concise History of a Nation Reborn,Daniel Gordis,HarperCollins Publishers,9/5/2017
3394,2259,2181,"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",Daniel Goleman,Avery,9/5/2017,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Beverly Daniel Tatum,Basic Books,9/5/2017
3449,2604,2719,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,Broadway Books; Reprint edition,9/5/2017,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,Crown/Archetype,9/5/2017
3460,2651,1538,Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,Random House; First Edition edition,9/5/2017,Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,Random House Publishing Group,9/5/2017
3519,2900,1674,Feminist Fight Club: A Survival Manual for a Sexist Workplace,Jessica Bennett,Harper Wave; Reprint edition,9/5/2017,A Shadow Bright and Burning (Kingdom on Fire Series #1),Jessica Cluess,Random House Children's Books,9/5/2017
3565,183,3221,The Sympathizer: A Novel (Pulitzer Prize for Fiction),Viet Thanh Nguyen,Grove Press; Reprint edition,4/12/2016,The Sympathizer,Viet Thanh Nguyen,"Grove/Atlantic, Inc.",4/12/2016
3578,15,1940,All the Light We Cannot See: A Novel,Anthony Doerr,Scribner; Reprint edition,4/4/2017,All the Light We Cannot See,Anthony Doerr,Scribner,4/4/2017
3583,15,3184,All the Light We Cannot See: A Novel,Anthony Doerr,Scribner; Reprint edition,4/4/2017,All the Light We Cannot See,Anthony Doerr,Scribner,4/4/2017
3609,1169,1565,White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,Penguin Books; Reprint edition,4/4/2017,White Trash: The 400-Year Untold History of Class in America,Nancy  Isenberg,Penguin Publishing Group,4/4/2017
3736,2088,2258,The Wahls Protocol Cooking for Life: The Revolutionary Modern Paleo Plan to Treat All Chronic Autoimmune Conditions,Terry Wahls M.D.,Avery; 1 edition,4/4/2017,The Wahls Protocol Cooking for Life: The Revolutionary Modern Paleo Plan to Treat All Chronic Autoimmune Conditions,Terry Wahls,Penguin Publishing Group,4/4/2017
3788,16,53,The Light We Lost,Jill Santopolo,G.P. Putnam's Sons; Reprint edition,2/6/2018,The Light We Lost,Jill Santopolo,G.P. Putnam's Sons; Reprint edition,2/6/2018
3850,31,3191,Lincoln in the Bardo: A Novel,George Saunders,Random House Trade Paperbacks; Reprint edition,2/6/2018,Lincoln in the Bardo,George Saunders,Random House Publishing Group,2/6/2018
3900,97,3269,Asymmetry: A Novel,Lisa Halliday,Simon &amp; Schuster,2/6/2018,Asymmetry,Lisa Halliday,Simon & Schuster,2/6/2018
3924,102,3269,Look for Me (D. D. Warren),Lisa Gardner,Dutton,2/6/2018,Asymmetry,Lisa Halliday,Simon & Schuster,2/6/2018
4309,674,3285,4 3 2 1: A Novel,Paul Auster,Picador; Reprint edition,2/6/2018,4 3 2 1: A Novel,Paul Auster,Picador,2/6/2018
4338,776,3561,Beautiful Days: Stories,Joyce Carol Oates,Ecco; 1st Edition edition,2/6/2018,Beautiful Days,Joyce Carol Oates,HarperCollins Publishers,2/6/2018
4413,1181,686,Sign My Name to Freedom: A Memoir of a Pioneering Life,Betty Reid-Soskin,"Hay House, Inc.",2/6/2018,Sign My Name to Freedom: A Memoir of a Pioneering Life,Betty Reid-Soskin,"Hay House, Inc.",2/6/2018
4494,1300,1918,Surveillance Valley: The Secret Military History of the Internet,Yasha Levine,PublicAffairs,2/6/2018,Surveillance Valley: The Secret Military History of the Internet,Yasha Levine,PublicAffairs,2/6/2018
4563,1436,1679,The Potlikker Papers: A Food History of the Modern South,John T. Edge,Penguin Books; Reprint edition,2/6/2018,The Potlikker Papers: A Food History of the Modern South,John T. Edge,Penguin Publishing Group,2/6/2018
4579,1436,3567,The Potlikker Papers: A Food History of the Modern South,John T. Edge,Penguin Books; Reprint edition,2/6/2018,Universal Harvester,John Darnielle,Picador,2/6/2018
4611,1576,1679,Richard Nixon: The Life,John A. Farrell,Vintage; Reprint edition,2/6/2018,The Potlikker Papers: A Food History of the Modern South,John T. Edge,Penguin Publishing Group,2/6/2018
4627,1576,3567,Richard Nixon: The Life,John A. Farrell,Vintage; Reprint edition,2/6/2018,Universal Harvester,John Darnielle,Picador,2/6/2018
4727,2255,1066,"The Candida Cure: The 90-Day Program to Balance Your Gut, Beat Candida, and Restore Vibrant Health",Ann Boroch,Harper Wave; 1 edition,2/6/2018,"The Candida Cure: The 90-Day Program to Balance Your Gut, Beat Candida, and Restore Vibrant Health",Ann Boroch,HarperCollins Publishers,2/6/2018
4784,2414,2180,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,Portfolio,2/6/2018,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,Penguin Publishing Group,2/6/2018
4848,2591,1148,The Tyranny of Metrics,Jerry Z. Muller,Princeton University Press,2/6/2018,"Storey's Guide to Raising Dairy Goats, 5th Edition: Breed Selection, Feeding, Fencing, Health Care, Dairying, Marketing",Jerry Belanger,Storey Books,2/6/2018
5072,438,3389,The Darkest Child,Delores Phillips,Soho Press; Special edition,1/30/2018,The Darkest Child,Delores Phillips,"Soho Press, Incorporated",1/30/2018
5075,494,112,The Family Business 4: A Family Business Novel,Carl Weber,Urban Books,1/30/2018,The Family Business 4: A Family Business Novel,Carl Weber,Kensington,1/30/2018
5118,622,1590,American War: A Novel,Omar El Akkad,Vintage; Reprint edition,1/30/2018,American War,Omar El Akkad,Knopf Doubleday Publishing Group,1/30/2018
5279,1171,3082,"Jefferson's Daughters: Three Sisters, White and Black, in a Young America",Catherine Kerrison,Ballantine Books,1/30/2018,"Jefferson's Daughters: Three Sisters, White and Black, in a Young America",Catherine Kerrison,Ballantine Books,1/30/2018
5292,1264,1808,A More Beautiful and Terrible History: The Uses and Misuses of Civil Rights History,Jeanne Theoharis,Beacon Press,1/30/2018,A More Beautiful and Terrible History: The Uses and Misuses of Civil Rights History,Jeanne Theoharis,Beacon Press,1/30/2018
5310,1389,1756,When Montezuma Met CortÃ©s: The True Story of the Meeting that Changed History,Matthew Restall,Ecco,1/30/2018,When Montezuma Met Cortés: The True Story of the Meeting that Changed History,Matthew Restall,HarperCollins Publishers,1/30/2018
5401,1840,846,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health,Ben Lynch ND.,HarperOne; 1 edition,1/30/2018,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health,Ben Lynch,HarperCollins Publishers,1/30/2018
5423,2031,1661,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,Vintage; Reprint edition,1/30/2018,Purple Hearts (Front Lines Series #3),Michael Grant,HarperCollins Publishers,1/30/2018
5494,2749,234,Rise of the Youpreneur: The Definitive Guide to Becoming the Go-To Leader in Your Industry and Building a Future-Proof Business,Chris Ducker,4C Press,1/30/2018,Rise of the Youpreneur: The Definitive Guide to Becoming the Go-To Leader in Your Industry and Building a Future-Proof Business,Chris Ducker,4C Press,1/30/2018
5622,605,798,The Weight of Ink,Rachel Kadish,Houghton Mifflin Harcourt; 1st Edition edition,6/6/2017,The Weight of Ink,Rachel Kadish,Houghton Mifflin Harcourt; 1st Edition edition,6/6/2017
5778,25,58,The Great Gatsby,F. Scott Fitzgerald,Scribner,9/30/2004,The Great Gatsby,F. Scott Fitzgerald,Scribner,9/30/2004
5779,25,3189,The Great Gatsby,F. Scott Fitzgerald,Scribner,9/30/2004,The Great Gatsby,F. Scott Fitzgerald,Scribner,9/30/2004
5916,43,2445,The Walking Dead Volume 29: Lines We Cross,Robert Kirkman,Image Comics,3/13/2018,The Walking Dead Volume 29: Lines We Cross,Robert Kirkman,Image Comics,3/13/2018
5943,471,1026,A Conjuring of Light: A Novel (Shades of Magic),V. E. Schwab,Tor Books; Reprint edition,3/13/2018,"Body Belief: How to Heal Autoimmune Diseases, Radically Shift Your Health, and Learn to Love Your Body More",Aimee E. Raupp,"Hay House, Inc.",3/13/2018
5953,599,3500,Anatomy of a Miracle: A Novel*,Jonathan Miles,Hogarth,3/13/2018,Anatomy of a Miracle,Jonathan Miles,Crown/Archetype,3/13/2018
6053,176,3289,Chicago: A Novel,David Mamet,Custom House; 1st Edition edition,2/27/2018,Chicago,David Mamet,HarperCollins Publishers,2/27/2018
6074,419,1622,Borne: A Novel,Jeff VanderMeer,MCD; Reprint edition,2/27/2018,Borne,Jeff VanderMeer,"Farrar, Straus and Giroux",2/27/2018
6075,419,1826,Borne: A Novel,Jeff VanderMeer,MCD; Reprint edition,2/27/2018,The Strange Bird: A Borne Story,Jeff VanderMeer,"Farrar, Straus and Giroux",2/27/2018
6117,684,3289,The Fix (Memory Man series),David Baldacci,Vision,2/27/2018,Chicago,David Mamet,HarperCollins Publishers,2/27/2018
6270,2963,260,Superconnector: Stop Networking and Start Building Business Relationships that Matter,Scott Gerber,Da Capo Lifelong Books,2/27/2018,Superconnector: Stop Networking and Start Building Business Relationships that Matter,Scott Gerber,Da Capo Press,2/27/2018
6282,36,1824,The Punishment She Deserves: A Lynley Novel,Elizabeth George,Viking,3/20/2018,Stone Mad: A Karen Memory Adventure,Elizabeth Bear,Tom Doherty Associates,3/20/2018
6349,1654,1193,"William Howard Taft: The American Presidents Series: The 27th President, 1909-1913",Jeffrey Rosen,Times Books; 1st edition,3/20/2018,Dying for a Paycheck: How Modern Management Harms Employee Health and Company Performance--and What We Can Do About It,Jeffrey Pfeffer,HarperCollins Publishers,3/20/2018
6402,37,2849,The Fallen (Memory Man series),David Baldacci,Grand Central Publishing,4/17/2018,Weird Math: A Teenage Genius and His Teacher Reveal the Strange Connections Between Math and Everyday Life,David Darling,Basic Books,4/17/2018
6431,588,2163,Saints for All Occasions: A novel,J. Courtney Sullivan,Knopf; 1st edition,5/9/2017,Saints for All Occasions,J. Courtney Sullivan,Knopf Doubleday Publishing Group,5/9/2017
6432,588,2963,Saints for All Occasions: A novel,J. Courtney Sullivan,Knopf; 1st edition,5/9/2017,MyMathLab with Pearson eText -- Standalone Access Card -- for Basic Technical Mathematics / Edition 11,Allyn J. Washington,Pearson,5/9/2017
6486,107,2162,Night Moves: An Alex Delaware Novel,Jonathan Kellerman,Ballantine Books,2/13/2018,All the Pieces Matter: The Inside Story of The Wire,Jonathan Abrams,Crown/Archetype,2/13/2018
6560,331,1368,The Queen of Hearts,Kimmery Martin,Berkley,2/13/2018,A History of Judaism,Martin Goodman,Princeton University Press,2/13/2018
6564,331,2345,The Queen of Hearts,Kimmery Martin,Berkley,2/13/2018,The Queen of Hearts,Kimmery Martin,Berkley,2/13/2018
6598,536,3211,The Idiot: A Novel,Elif Batuman,Penguin Books; Reprint edition,2/13/2018,The Idiot,Elif Batuman,Penguin Publishing Group,2/13/2018
6638,1084,1607,Farewell to the Horse: A Cultural History,Ulrich Raulff,Liveright; 1 edition,2/13/2018,Farewell to the Horse: A Cultural History,Ulrich Raulff,Liveright Publishing Corporation,2/13/2018
6670,1509,1368,A History of Judaism,Martin Goodman,Princeton University Press,2/13/2018,A History of Judaism,Martin Goodman,Princeton University Press,2/13/2018
6674,1509,2345,A History of Judaism,Martin Goodman,Princeton University Press,2/13/2018,The Queen of Hearts,Kimmery Martin,Berkley,2/13/2018
