_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,rtable_Title,rtable_Author
0,10,1285,Fahrenheit 451,Ray Bradbury,Fahrenheit 451,Ray Bradbury
1,10,1774,Fahrenheit 451,Ray Bradbury,A Sound of Thunder and Other Stories,Ray Bradbury
2,12,1548,The Outsider,Stephen King,11/22/63,Stephen King
3,12,1643,The Outsider,Stephen King,The Running Man: A Novel,Stephen King
4,12,2168,The Outsider,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
5,69,1548,It: A Novel,Stephen King,11/22/63,Stephen King
6,69,1643,It: A Novel,Stephen King,The Running Man: A Novel,Stephen King
7,69,2168,It: A Novel,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
8,205,1548,Sleeping Beauties: A Novel,Stephen King,11/22/63,Stephen King
9,205,1643,Sleeping Beauties: A Novel,Stephen King,The Running Man: A Novel,Stephen King
10,205,2168,Sleeping Beauties: A Novel,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
11,260,1548,The Shining,Stephen King,11/22/63,Stephen King
12,260,1643,The Shining,Stephen King,The Running Man: A Novel,Stephen King
13,260,2168,The Shining,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
14,345,1548,The Dark Tower 8-Book Boxed Set,Stephen King,11/22/63,Stephen King
15,345,1643,The Dark Tower 8-Book Boxed Set,Stephen King,The Running Man: A Novel,Stephen King
16,345,2168,The Dark Tower 8-Book Boxed Set,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
17,377,1548,The Stand,Stephen King,11/22/63,Stephen King
18,377,1643,The Stand,Stephen King,The Running Man: A Novel,Stephen King
19,377,2168,The Stand,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
20,422,1548,11/22/63: A Novel,Stephen King,11/22/63,Stephen King
21,422,1643,11/22/63: A Novel,Stephen King,The Running Man: A Novel,Stephen King
22,422,2168,11/22/63: A Novel,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
23,527,1548,Different Seasons: Four Novellas,Stephen King,11/22/63,Stephen King
24,527,1643,Different Seasons: Four Novellas,Stephen King,The Running Man: A Novel,Stephen King
25,527,2168,Different Seasons: Four Novellas,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
26,667,1548,The Dark Tower II: The Drawing of the Three,Stephen King,11/22/63,Stephen King
27,667,1643,The Dark Tower II: The Drawing of the Three,Stephen King,The Running Man: A Novel,Stephen King
28,667,2168,The Dark Tower II: The Drawing of the Three,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
29,669,1548,The Eyes of the Dragon: A Novel,Stephen King,11/22/63,Stephen King
30,669,1643,The Eyes of the Dragon: A Novel,Stephen King,The Running Man: A Novel,Stephen King
31,669,2168,The Eyes of the Dragon: A Novel,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
32,687,1548,The Long Walk,Stephen King,11/22/63,Stephen King
33,687,1643,The Long Walk,Stephen King,The Running Man: A Novel,Stephen King
34,687,2168,The Long Walk,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
35,701,1548,Elevation,Stephen King,11/22/63,Stephen King
36,701,1643,Elevation,Stephen King,The Running Man: A Novel,Stephen King
37,701,2168,Elevation,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
38,709,1548,'Salem's Lot,Stephen King,11/22/63,Stephen King
39,709,1643,'Salem's Lot,Stephen King,The Running Man: A Novel,Stephen King
40,709,2168,'Salem's Lot,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
41,716,1548,"7: The Dark Tower VII (The Dark Tower, Book 7)",Stephen King,11/22/63,Stephen King
42,716,1643,"7: The Dark Tower VII (The Dark Tower, Book 7)",Stephen King,The Running Man: A Novel,Stephen King
43,716,2168,"7: The Dark Tower VII (The Dark Tower, Book 7)",Stephen King,The Eyes of the Dragon: A Novel,Stephen King
44,806,1548,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,11/22/63,Stephen King
45,806,1643,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,The Running Man: A Novel,Stephen King
46,806,2168,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,The Eyes of the Dragon: A Novel,Stephen King
47,854,1548,Pet Sematary: A Novel,Stephen King,11/22/63,Stephen King
48,854,1643,Pet Sematary: A Novel,Stephen King,The Running Man: A Novel,Stephen King
49,854,2168,Pet Sematary: A Novel,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
50,868,1548,The Dark Tower IV: Wizard and Glass,Stephen King,11/22/63,Stephen King
51,868,1643,The Dark Tower IV: Wizard and Glass,Stephen King,The Running Man: A Novel,Stephen King
52,868,2168,The Dark Tower IV: Wizard and Glass,Stephen King,The Eyes of the Dragon: A Novel,Stephen King
53,924,1548,Mr. Mercedes: A Novel (The Bill Hodges Trilogy),Stephen King,11/22/63,Stephen King
54,924,1643,Mr. Mercedes: A Novel (The Bill Hodges Trilogy),Stephen King,The Running Man: A Novel,Stephen King
55,924,2168,Mr. Mercedes: A Novel (The Bill Hodges Trilogy),Stephen King,The Eyes of the Dragon: A Novel,Stephen King
56,15,1649,All the Light We Cannot See: A Novel,Anthony Doerr,"Four Seasons in Rome: On Twins, Insomnia, and the Biggest Funeral in the History of the World",Anthony Doerr
57,15,1940,All the Light We Cannot See: A Novel,Anthony Doerr,All the Light We Cannot See,Anthony Doerr
58,21,1622,Annihilation: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,Borne,Jeff VanderMeer
59,21,1826,Annihilation: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,The Strange Bird: A Borne Story,Jeff VanderMeer
60,42,1622,Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance,Jeff VanderMeer,Borne,Jeff VanderMeer
61,42,1826,Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance,Jeff VanderMeer,The Strange Bird: A Borne Story,Jeff VanderMeer
62,50,1622,Authority: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,Borne,Jeff VanderMeer
63,50,1826,Authority: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,The Strange Bird: A Borne Story,Jeff VanderMeer
64,56,1622,Acceptance: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,Borne,Jeff VanderMeer
65,56,1826,Acceptance: A Novel (The Southern Reach Trilogy),Jeff VanderMeer,The Strange Bird: A Borne Story,Jeff VanderMeer
66,419,1622,Borne: A Novel,Jeff VanderMeer,Borne,Jeff VanderMeer
67,419,1826,Borne: A Novel,Jeff VanderMeer,The Strange Bird: A Borne Story,Jeff VanderMeer
68,26,1938,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Fox in Socks,Dr. Seuss
69,26,1945,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Green Eggs and Ham,Dr. Seuss
70,26,1946,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss
71,26,1967,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Dr. Seuss's ABC,Dr. Seuss
72,26,1968,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Wacky Wednesday,Dr. Seuss
73,26,1970,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Ten Apples Up on Top!,Dr. Seuss
74,26,1972,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Hop on Pop,Dr. Seuss
75,26,1974,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Dr. Seuss's Beginner Book Collection,Dr. Seuss
76,26,1976,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Dr. Seuss's Second Beginner Book Collection,Dr. Seuss
77,26,1988,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,I Wish That I Had Duck Feet,Dr. Seuss
78,26,1990,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,The Big Orange Book of Beginner Books,Dr. Seuss
79,26,1992,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,El gato ensombrerado (The Cat in the Hat Spanish Edition),Dr. Seuss
80,26,1993,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,"Oh, the Thinks You Can Think!",Dr. Seuss
81,26,2002,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,I Can Read with My Eyes Shut!,Dr. Seuss
82,26,2008,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,I Am Not Going to Get Up Today!,Dr. Seuss
83,26,2024,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Oh Say Can You Say?,Dr. Seuss
84,26,2053,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,The Cat's Quizzer: Are You Smarter than the Cat in the Hat?,Dr. Seuss
85,26,2055,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,The Cat in the Hat: Book & CD,Dr. Seuss
86,26,2059,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish: Book and CD",Dr. Seuss
87,26,2067,You're Only Old Once!: A Book for Obsolete Children,Dr. Seuss,Fox in Socks: Book & CD,Dr. Seuss
88,127,1938,The Sneetches and Other Stories,Dr. Seuss,Fox in Socks,Dr. Seuss
89,127,1945,The Sneetches and Other Stories,Dr. Seuss,Green Eggs and Ham,Dr. Seuss
90,127,1946,The Sneetches and Other Stories,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss
91,127,1967,The Sneetches and Other Stories,Dr. Seuss,Dr. Seuss's ABC,Dr. Seuss
92,127,1968,The Sneetches and Other Stories,Dr. Seuss,Wacky Wednesday,Dr. Seuss
93,127,1970,The Sneetches and Other Stories,Dr. Seuss,Ten Apples Up on Top!,Dr. Seuss
94,127,1972,The Sneetches and Other Stories,Dr. Seuss,Hop on Pop,Dr. Seuss
95,127,1974,The Sneetches and Other Stories,Dr. Seuss,Dr. Seuss's Beginner Book Collection,Dr. Seuss
96,127,1976,The Sneetches and Other Stories,Dr. Seuss,Dr. Seuss's Second Beginner Book Collection,Dr. Seuss
97,127,1988,The Sneetches and Other Stories,Dr. Seuss,I Wish That I Had Duck Feet,Dr. Seuss
98,127,1990,The Sneetches and Other Stories,Dr. Seuss,The Big Orange Book of Beginner Books,Dr. Seuss
99,127,1992,The Sneetches and Other Stories,Dr. Seuss,El gato ensombrerado (The Cat in the Hat Spanish Edition),Dr. Seuss
100,127,1993,The Sneetches and Other Stories,Dr. Seuss,"Oh, the Thinks You Can Think!",Dr. Seuss
101,127,2002,The Sneetches and Other Stories,Dr. Seuss,I Can Read with My Eyes Shut!,Dr. Seuss
102,127,2008,The Sneetches and Other Stories,Dr. Seuss,I Am Not Going to Get Up Today!,Dr. Seuss
103,127,2024,The Sneetches and Other Stories,Dr. Seuss,Oh Say Can You Say?,Dr. Seuss
104,127,2053,The Sneetches and Other Stories,Dr. Seuss,The Cat's Quizzer: Are You Smarter than the Cat in the Hat?,Dr. Seuss
105,127,2055,The Sneetches and Other Stories,Dr. Seuss,The Cat in the Hat: Book & CD,Dr. Seuss
106,127,2059,The Sneetches and Other Stories,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish: Book and CD",Dr. Seuss
107,127,2067,The Sneetches and Other Stories,Dr. Seuss,Fox in Socks: Book & CD,Dr. Seuss
108,225,1938,Yertle the Turtle and Other Stories,Dr. Seuss,Fox in Socks,Dr. Seuss
109,225,1945,Yertle the Turtle and Other Stories,Dr. Seuss,Green Eggs and Ham,Dr. Seuss
110,225,1946,Yertle the Turtle and Other Stories,Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss
111,225,1967,Yertle the Turtle and Other Stories,Dr. Seuss,Dr. Seuss's ABC,Dr. Seuss
112,225,1968,Yertle the Turtle and Other Stories,Dr. Seuss,Wacky Wednesday,Dr. Seuss
113,225,1970,Yertle the Turtle and Other Stories,Dr. Seuss,Ten Apples Up on Top!,Dr. Seuss
114,225,1972,Yertle the Turtle and Other Stories,Dr. Seuss,Hop on Pop,Dr. Seuss
115,225,1974,Yertle the Turtle and Other Stories,Dr. Seuss,Dr. Seuss's Beginner Book Collection,Dr. Seuss
