Publisher,Time,Author,Title,ID
Credo Books Inc.,11/13/17,Corey P Smith,UnBreakable Laws of Business Credit,1
Wiley,4/27/15,Consumer Dummies,Starting a Business All-In-One For Dummies,2
HarperCollins Publishers,2/21/06,Benjamin Graham,The Intelligent Investor Rev Ed.,3
Wiley,12/27/11,Eric Tyson,Small Business For Dummies,4
Harvard Business Review Press,2002/7/17,Clayton M. Christensen,How Will You Measure Your Life? (Harvard Business Review Classics),5
McGraw-Hill Higher Education,2001/9/15,Susan McHugh,Understanding Business / Edition 11,6
Cengage Learning,1/15/16,William M. Pride,Foundations of Business / Edition 5,7
Microsoft Press,12/23/16,Wayne Winston,Microsoft Excel Data Analysis and Business Modeling / Edition 5,8
Kensington,4/29/14,Carl Weber,The Family Business 2,9
Kensington,8/28/13,Carl Weber,The Family Business,10
PassKey Publications INC,3/15/18,Richard Gramkow,"PassKey Learning Systems EA Review Complete: Individuals, Businesses, and Representation: Enrolled Agent Exam Study Guide 2018-2019 Edition (HARDCOVER)",11
McGraw-Hill Higher Education,2003/1/13,Joseph R. DesJardins,An Introduction to Business Ethics / Edition 5,12
Random House Children's Books,2/28/93,Barbara Park,Junie B. Jones and a Little Monkey Business (Junie B. Jones Series #2),13
Harvard Business Review Press,2001/3/11,Harvard Business Review,HBR's 10 Must Reads on Leadership,14
Kensington,7/28/15,Carl Weber,The Family Business 3,15
Random House Publishing Group,2001/7/14,Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business,16
Silhouette,2011/1/17,Nora Roberts,Risky Business: A Passionate Novel of Suspense,17
HarperCollins Publishers,1/29/13,Herman Parish,Amelia Bedelia Means Business (Amelia Bedelia Chapter Book Series #1),18
HarperCollins Publishers,7/26/16,Peter Schweizer,Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich,19
Penguin Publishing Group,2010/6/15,Bob Burg,"The Go-Giver, Expanded Edition: A Little Story About a Powerful Business Idea",20
SAGE Publications,10/23/15,Peter A. Stanwick,Understanding Business Ethics / Edition 3,21
McGraw-Hill Professional Publishing,8/31/15,Michael Geringer,International Business / Edition 1,22
Pearson,1/19/16,Ronald J. Ebert,Business Essentials / Edition 11,23
Wiley,1/30/17,Shannon Belew,Starting an Online Business All-in-One For Dummies,24
Pearson,1/21/16,Courtland L. Bovee,Business in Action / Edition 8,25
International Institute of Business Analysis,4/15/15,IIBA,A Guide to the Business Analysis Body of Knowledge® (BABOK® Guide) / Edition 3,26
Cengage Learning,2001/1/15,Mary Ellen Guffey,"Essentials of Business Communication (with Premium Website, 1 Term (6 Months) Printed Access Card) / Edition 10",27
Down & Out Books,4/30/18,Lawrence Kelter,The Black Car Business Volume 1,28
Wiley,2011/11/13,Louis E. Boone,Essentials of Contemporary Business / Edition 1,29
Random House Publishing Group,5/21/13,Janet Evanovich,Wicked Business (Lizzy and Diesel Series #2),30
Simon & Schuster,1/25/96,Peter Lynch,Learn to Earn; A Beginner's Guide to the Basics of Investing and Business,31
McGraw-Hill Professional Publishing,2002/1/17,Charles W. L. Hill,Global Business Today / Edition 10,32
University of Chicago Press,3/19/18,Jane Friedman,The Business of Being a Writer,33
McGraw-Hill Higher Education,12/26/14,Laura P. Hartman,Employment Law for Business / Edition 8,34
West Academic,2003/2/15,William Klein,"Business Associations, Cases and Materials on Agency, Partnerships, and Corporations / Edition 9",35
"C C H, Incorporated",12/14/16,Linda M. Johnson,Essentials of Federal Income Taxation for Individuals and Business,36
Harvard Business Review Press,2004/4/17,Harvard Business Review,HBR's 10 Must Reads Boxed Set with Bonus Emotional Intelligence (7 Books) (HBR's 10 Must Reads),37
PRH Grupo Editorial,8/29/17,Robert T. Kiyosaki,El negocio del siglo 21 / The Business of the 21st Century,38
Penguin Publishing Group,2003/1/5,Robert B. Parker,Bad Business (Spenser Series #31),39
Taylor & Francis,7/30/14,Paul Allen,Artist Management for the Music Business / Edition 3,40
Pearson,1/13/15,James R. Evans,Business Analytics / Edition 2,41
Cengage Learning,2012/5/16,Gerald E. Whittenburg,Income Tax Fundamentals 2017 (with H&R Block Premium & Business Access Code for Tax Filing Year 2016) / Edition 35,42
Cengage Learning,2/15/12,Loretta Barker,Business Skills Exercises / Edition 5,43
Harvard Business Review Press,2006/5/3,Harvard Business Review,Negotiation (Harvard Business Essentials Series),44
Entrepreneur Press,3/27/18,Inc. The Staff of Entrepreneur Media,Ultimate Guide to YouTube for Business,45
Harvard Business Review Press,2002/7/17,Richard S. Ruback,HBR Guide to Buying a Small Business (HBR Guide Series),46
Chicago Business Press,2/28/17,O.C. Ferrell,Business and Society,47
Pearson,2008/4/11,Ravi Anupindi,Managing Business Process Flows / Edition 3,48
"Little, Brown Books for Young Readers",4/28/93,Marc Brown,Arthur's Pet Business (Arthur Adventures Series),49
Beta Nu Publishing,9/19/14,Lawrence Revere,Playing Blackjack as a Business,50
Wiley,2012/4/13,Eric Tyson,Small Business Taxes For Dummies,51
"Barron's Educational Series, Incorporated",2005/1/12,Jack P. Friedman Ph.D. C.P.A.,Dictionary of Business and Economics Terms,52
Entrepreneur Press,5/13/14,Entrepreneur magazine,Start Your Own Consulting Business,53
Wiley,8/28/17,Kate Shoup,Starting an Etsy Business For Dummies,54
Hal Leonard Corporation,11/15/16,Kenny Aronoff,"Sex, Drums, Rock n Roll! - The Hardest Hitting Man in Show Business",55
DK,4/14/15,Alexandra Black,How Business Works,56
Entrepreneur Press,5/16/17,Kim Walsh Phillips,Ultimate Guide to Instagram for Business,57
Penguin Publishing Group,4/28/88,Terry Cole-Whittaker,What You Think of Me is None of My Business,58
Pearson,1/17/10,Ernest F. Haeussler,"Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences / Edition 13",59
Cengage Learning,2012/8/8,Howard Podeswa,The Business Analyst's Handbook / Edition 1,60
Harvard Business Review Press,2012/5/17,Harvard Business Review,Influence and Persuasion (HBR Emotional Intelligence Series),61
Harvard Business Review Press,4/18/17,Harvard Business Review,Harvard Business Review Emotional Intelligence Collection (4 Books) (HBR Emotional Intelligence Series),62
Wiley,2/18/13,Teresa Bradley,Essential Mathematics for Economics and Business / Edition 4,63
Penguin Publishing Group,1/28/01,Robertson Davies,Fifth Business,64
Cengage Learning,1/17/17,David R. Anderson,"Statistics for Business & Economics, Revised (with XLSTAT Education Edition Printed Access Card) / Edition 13",65
CreateSpace Publishing,6/23/17,John DaRe,Car Business 101,66
Xlibris Corporation,10/25/17,Stantisha Kemp,"Mind, Business, and Success",67
Wiley,4/28/99,Wendy Beech,Black Enterprise Guide to Starting Your Own Business,68
McGraw-Hill Higher Education,1/31/14,Donna S. Kienzler,Business and Administrative Communication / Edition 11,69
McGraw-Hill Higher Education,2004/3/15,Amy Phillips,Business Driven Information Systems / Edition 5,70
McGraw-Hill Higher Education,2/25/15,Jane P. Mallor,Business Law / Edition 16,71
Jones & Bartlett Learning,2010/12/10,Scott Rosner,The Business Of Sports / Edition 2,72
Wiley,2004/7/14,Veechi Curtis,Creating a Business Plan For Dummies,73
Wiley,6/29/15,Loren Weisman,Music Business For Dummies,74
DK,2003/6/12,Ed Paulson,"The Complete Idiot's Guide to Starting Your Own Business, 6th Edition",75
Harvard Business Review Press,2010/2/12,Harvard Business Review,HBR Guide to Finance Basics for Managers,76
SAGE Publications,2002/4/16,David Baskerville,Music Business Handbook and Career Guide / Edition 11,77
Maverick Books TX,10/15/11,John R. Erickson,Hank the Cowdog and Monkey Business (Hank the Cowdog Series #14),78
Cengage Learning,2001/5/15,Jeffrey F. Beatty,"Business Law and the Legal Environment, Standard Edition / Edition 7",79
Harvard Business Review Press,1/15/13,Harvard Business Review,HBR Guide to Managing Up and Across,80
Harvard Business Review Press,2004/3/18,Harvard Business Review,HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),81
LiveFullOut Media,2009/1/16,Romi Neustadt,Get Over Your Damn Self: The No-BS Blueprint to Building A Life-Changing Business,82
McGraw-Hill Professional Publishing,10/24/17,Rajeev Peshawaria,Open Source Leadership: Reinventing Management When There's No More Business as Usual,83
"Hay House, Inc.",9/26/17,Sage Lavine,Women Rocking Business: The Ultimate Step-by-Step Guidebook to Create a Thriving Life Doing Work You Love,84
HarperCollins Publishers,12/26/06,Robert B. Cialdini PhD,influence: The Psychology of Persuasion,85
Silhouette,2012/11/17,Nora Roberts,"Nora Roberts Mystery Box Set: Mind Over Matter\Treasures Lost, Treasures Found\The Art of Deception\Risky Business",86
Wiley,3/13/12,Patrick M. Lencioni,The Advantage: Why Organizational Health Trumps Everything Else in Business,87
Wiley,10/16/17,Oliver Ratzesberger,The Sentient Enterprise: The Evolution of Business Decision Making,88
Wiley,11/13/17,Michael Alden,"Blueprint to Business: An Entrepreneur's Guide to Taking Action, Committing to the Grind, And Doing the Things That Most People Won't",89
Taylor & Francis,7/30/14,Paul Allen,Artist Management for the Music Business,90
Gale Group,5/16/18,Carl Weber,The Family Business 4,91
HarperCollins Publishers,2009/1/15,Esphyr Slobodkina,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",92
Kensington,8/21/18,Desiree Holt,A Deadly Business,93
"BenBella Books, Inc.",2004/3/12,Gino Wickman,Traction: Get a Grip on Your Business,94
McGraw-Hill Higher Education,2001/6/15,O. C. Ferrell,Business: A Changing World / Edition 10,95
HarperCollins Publishers,1/30/18,Gary Vaynerchuk,"Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too",96
McGraw-Hill Professional Publishing,2002/8/16,O. C. Ferrell,M: Business / Edition 5,97
Wiley,3/16/18,Consumer Dummies,Business Skills All-in-One For Dummies,98
Harvard Business Review Press,2005/8/18,Harvard Business Review,Dealing with Difficult People (HBR Emotional Intelligence Series),99
"SLACK, Incorporated",2007/1/18,Savak Teymoorian,Essential Business Fundamentals for the Successful Eye Care Practice,100
True 2 Life Productions,7/28/14,Al-Saadiq Banks,Block Party 4: Back 2 Business,101
The Crown Publishing Group,2006/7/11,Richard Branson,"Losing My Virginity: How I Survived, Had Fun, and Made a Fortune Doing Business My Way",102
HarperCollins Publishers,2003/4/14,Ben Horowitz,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,103
HarperCollins Publishers,11/24/05,Jim Collins,Good to Great and the Social Sectors: Why Business Thinking Is Not the Answer,104
Wiley,2007/6/10,Alexander Osterwalder,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers / Edition 1",105
HarperCollins Publishers,1/29/08,Danny Meyer,Setting the Table: The Transforming Power of Hospitality in Business,106
Wiley,9/21/15,Jon Gordon,"You Win in the Locker Room First: The 7 C's to Build a Winning Team in Business, Sports, and Life",107
The Crown Publishing Group,4/29/14,Steve Mariotti,The Young Entrepreneur's Guide to Starting and Running a Business: Turn Your Ideas into Money!,108
McGraw-Hill Higher Education,9/28/12,Ronald B Adler,Communicating at Work: Principles and Practices for Business and the Professions / Edition 11,109
CreateSpace Publishing,11/26/15,Georgi Tsvetanov,Visual Finance: The One Page Visual Model to Understand Financial Statements and Make Better Business Decisions,110
Penguin Publishing Group,2005/10/16,Don Tapscott,"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World",111
Kensington,1/30/18,Carl Weber,The Family Business 4: A Family Business Novel,112
Open Road Integrated Media LLC,2008/12/14,John Brooks,Business Adventures: Twelve Classic Tales from the World of Wall Street,113
Robbins Publishing Inc,2010/9/13,Sarah Robbins,Rock Your Network Marketing Business: How to Become a Network Marketing Rock Star,114
Ramsey Press,4/17/17,Christy Wright,Business Boutique: A Woman's Guide for Making Money Doing What She Loves,115
Penguin Publishing Group,2/21/17,Mike Michalowicz,Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,116
HarperCollins Publishers,9/26/17,Caleb Wilde,Confessions of a Funeral Director: How the Business of Death Saved My Life,117
IT Revolution Press,10/16/14,Gene Kim,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",118
Simon & Schuster,2011/10/15,Donald S. Passman,All You Need to Know about the Music Business: Ninth Edition,119
Penguin Publishing Group,3/13/18,Elisabeth  Rosenthal,An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,120
Entrepreneur Press,1/13/15,Entrepreneur Media Staff,"Start Your Own Business, Sixth Edition: The Only Startup Book You'll Ever Need",121
Random House Publishing Group,3/27/18,Nicole Edwards,Bad Business: A Bad Boys of Sports Novel,122
Penguin Publishing Group,2009/6/16,Yvon Chouinard,Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual,123
Wiley,2002/2/10,Patrick M. Lencioni,Getting Naked: A Business Fable about Shedding the Three Fears That Sabotage Client Loyalty,124
"Barron's Educational Series, Incorporated",2004/1/14,John Downes,Dictionary of Finance and Investment Terms,125
Grand Central Publishing,3/28/01,Mike Krzyzewski,"Leading with the Heart: Coach K's Successful Strategies for Basketball, Business, and Life",126
Harvard Business Review Press,2001/7/8,Peter F. Drucker,Managing Oneself,127
Wiley,2011/2/15,Cole Nussbaumer Knaflic,Storytelling with Data: A Data Visualization Guide for Business Professionals / Edition 1,128
Kensington,9/26/17,Carl Weber,The Family Business 3: A Family Business Novel,129
