Publisher,Time,Author,Title,ID
Del Rey,06/18/03,Jason Fry,The Last Jedi: Expanded Edition (Star Wars),1
Harper Perennial Modern Classics,2005/7/5,Harper Lee,To Kill a Mockingbird,2
Anchor; 1st Anchor Books edition,3/16/98,Margaret Atwood,The Handmaid's Tale,3
G.P. Putnam's Sons; First Edition edition,09/18/01,Chloe Benjamin,The Immortalists,4
Doubleday; First Edition edition,03/17/10,Dan Brown,Origin: A Novel,5
Independently published,10/22/17,Adam Gasiewski,Milk and Vine: Inspirational Quotes From Classic Vines,6
Penguin Books; Reprint edition,02/18/01,Georgia Hunter,We Were the Lucky Ones: A Novel,7
St. Martin's Griffin; Reprint edition,4/25/17,Kristin Hannah,The Nightingale: A Novel,8
"Tyndale House Publishers, Inc.",06/18/03,Joel C. Rosenberg,The Kremlin Conspiracy,9
Simon &amp; Schuster; Reissue edition,2012/1/10,Ray Bradbury,Fahrenheit 451,10
Grand Central Publishing; Reprint edition,11/14/17,Min Jin Lee,Pachinko (National Book Award Finalist),11
Scribner,5/22/18,Stephen King,The Outsider,12
Scribner; First Edition/First Printing edition,05/17/09,Jesmyn Ward,"Sing, Unburied, Sing: A Novel",13
Grand Central Publishing; First Edition edition,12/16/04,Lin-Manuel Miranda,Hamilton: The Revolution,14
Scribner; Reprint edition,04/17/04,Anthony Doerr,All the Light We Cannot See: A Novel,15
G.P. Putnam's Sons; Reprint edition,06/18/02,Jill Santopolo,The Light We Lost,16
Akashic Books; 1st edition,6/14/11,Adam Mansbach,Go the F**k to Sleep,17
St. Martin's Press,09/18/01,Greer Hendricks,The Wife Between Us: A Novel,18
"Tyndale House Publishers, Inc.",06/18/02,Francine Rivers,The Masterpiece,19
Pamela Dorman Books,1/30/18,Jojo Moyes,Still Me: A Novel,20
FSG Originals; First Edition edition,04/14/02,Jeff VanderMeer,Annihilation: A Novel (The Southern Reach Trilogy),21
CreateSpace Independent Publishing Platform,11/19/17,r.h. Sin,I hope this reaches her in time,22
Ballantine Books; Reprint edition,2/28/17,Martha Hall Kelly,Lilac Girls: A Novel,23
