,X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,cluster_kmeans,cluster_pam
1,1,-0.169131942,-0.072690992,0.039190117,-0.038988134,-0.26412954,0.026258874,-0.071219975,-0.347612518,-0.18345385,-0.242941946,-0.279127222,-0.058166887,0.051157985,-0.139416628,0.031504102,0.061519197,0.150387352,-0.218534068,-0.264205667,-0.138146574,-0.04051929,0.125567094,-0.193551322,0.001598785,0.170929689,-0.275892258,-0.166597443,-0.300867388,0.301343746,0.498389627,0.064369072,-0.032130036,0.096411526,0.066281924,-0.213055475,0.056252012,-0.280419392,0.013550734,-0.048583332,-0.230418079,-0.053451406,-0.314315438,0.297370154,0.586724579,-0.455698125,0.509249011,-0.415713228,0.475535272,0.035551178,0.07736397,3,1
2,2,0.036041413,-0.423534711,-0.105715096,-0.968767866,-0.378799462,0.051946829,-0.120387651,-0.489686521,0.264472185,-0.279701187,-0.24210234,-0.16439224,-0.050275898,-0.736105128,0.451041572,0.377172957,0.311161312,0.866010931,-0.162803808,-0.409532953,-0.148434123,0.015249413,-0.123383354,0.109165154,0.055935196,0.124386318,-0.310713411,-0.380677041,0.444823884,0.721621108,-0.787285976,-0.607714865,0.543021676,0.063070455,-0.116213415,-0.21988816,0.259848922,-0.132277951,-0.27363857,-0.306560973,-0.452373074,0.067575777,-0.224214351,0.695366952,-0.631623659,0.44207304,-0.519285284,0.65688829,0.019347,0.337233815,3,1
3,3,-0.27271418,-0.395282395,-0.011790006,-0.004870957,-0.006338374,0.229239482,0.13339926,0.093925348,-0.371439288,-0.027342723,-0.200785924,-0.598824551,-0.01519365,-0.000143414,0.335322025,-0.257153853,-0.002317173,0.021168852,0.25605613,-0.001646206,-0.006929053,0.025145223,0.211794214,0.666956468,-0.127480118,-0.108567099,-0.067549179,0.240428073,0.20376871,-0.033163561,0.150914166,0.104709206,0.580297802,0.102210714,0.238446072,0.128373264,0.169330166,-0.084374466,0.557523226,0.012521188,-0.133061215,-0.322640593,0.000845117,0.068691588,0.264049989,0.204097041,0.161271125,0.244772354,-0.019421136,-0.21584646,3,1
4,4,0.188349243,-0.146003114,-0.036053814,-0.935852617,-0.525328862,0.194182387,-0.239793861,-0.491543822,0.01175175,-0.20833749,-0.737294793,-0.26992707,0.208049171,-1.062827192,0.826329744,0.09179327,0.27385179,0.943418145,-0.326474342,-0.419095137,-0.282667628,0.01497603,-0.316101877,0.265204927,0.361979065,-0.16475614,-0.280494541,-0.544430198,0.740879226,0.789488066,-0.52732067,-0.513367969,0.436160784,0.012588259,-0.216703157,0.141488779,0.075524688,-0.000660701,-0.237501053,-0.406854414,-0.284961981,-0.14176079,-0.178663347,0.737553313,-0.441301232,0.783498837,-0.559419062,0.636894583,-0.104707789,0.39802604,3,1
5,5,-0.072907208,-0.166407083,0.373870388,-0.682303694,-0.251307989,0.037378178,-0.274361015,-0.022079876,-0.223453033,0.413752862,-0.293855901,-0.01848636,-0.085518284,0.085082746,0.165702006,-0.085613536,0.000380471,0.470107052,0.122379537,-0.412056895,-0.25790718,-0.042166203,-0.211061663,-0.004345263,-0.296936356,-0.307487089,-0.308362171,-0.349524065,-0.039778623,0.210709628,-0.742148956,0.194079994,0.4352554,0.328059603,-0.591620528,0.361549786,-0.442835425,0.045678526,0.411775566,0.219655046,-0.060729645,-0.149714662,0.233688828,0.340972974,0.03629931,0.772344562,-0.449348484,0.578203779,0.373991314,-0.066204518,3,1
6,6,-0.097443397,-0.482619923,0.100351943,-0.514272752,-0.305724669,-0.260729877,0.434874218,0.084487354,-0.199871332,-0.652049317,-0.597941641,0.440859017,-0.450583137,-0.399766181,0.401441719,-0.022166735,0.647102796,0.160185471,-0.083977905,0.221914306,-0.346628068,0.023869328,-0.324111737,-0.236611515,0.801105399,-0.218882237,-0.014107026,-1.10595437,0.25755874,0.02426306,0.209954587,0.403271002,0.485842657,0.010234045,-0.564587333,0.104271263,-0.592699997,-0.502828378,0.486381689,0.014684479,-0.185981942,-0.713906918,-0.330417659,0.716359392,-0.576339439,0.861875881,-0.546889022,0.709448501,0.337605873,0.160631588,3,1
7,7,-0.514957286,-0.289938804,0.061378788,-0.585727731,-0.3432142,0.002439573,0.130849186,0.285485916,-0.465873437,-0.568880552,-0.648241121,0.234400121,-0.085025766,-0.339246647,0.184530141,-0.655253146,0.654762095,0.385538866,-0.162076628,-0.135446713,-0.038117684,-0.152783123,-0.349390135,-0.176400425,0.560336351,-0.024630047,-0.533970696,-1.317712244,0.439957572,0.369095526,0.240998555,0.389820305,0.741078148,-0.160045761,-0.655301014,0.076367917,-0.350845045,-0.334893964,0.058980118,-0.354131936,-0.288907345,-0.60331375,0.151607307,0.541804575,-0.400369578,0.410774745,-0.617511547,0.542061417,0.416888214,-0.038955662,3,1
8,8,-0.02179834,0.08886165,0.077229628,-0.619834692,-0.138393946,0.069711791,-0.207312149,-0.040616512,-0.101029051,-0.2909337,-0.162040519,0.157204945,0.020129375,-0.273002961,0.318913087,-0.059705022,0.292366215,-0.043786406,-0.006217112,0.041088942,0.063104805,0.127706657,-0.0544836,-0.161320782,0.271882885,-0.011809147,-0.155478515,-0.812707795,0.015759811,0.221830831,0.332401833,0.091554671,0.270944223,0.154365847,-0.082575554,0.055811747,-0.261911452,-0.160139388,0.180594582,-0.029566157,-0.18811414,-0.309210821,0.135874678,0.423646446,-0.400553374,0.562762628,-0.352756519,0.416647779,0.23572681,0.030439606,3,1
9,9,0.013891429,-0.20035379,0.09308914,-0.469755607,-0.624018593,0.149839873,0.05161808,0.44940646,-0.739163324,-0.272118855,-1.047832595,-0.343272598,0.17534531,-0.184568848,0.424608038,-0.236253954,0.765059955,0.379940582,-0.235317824,-0.407292126,-0.290884705,-0.777635135,-0.479218215,0.4698363,-0.173782452,-0.173313482,-0.523182033,-0.728757524,0.521903952,0.486691419,-0.052886075,0.243327931,0.973953051,0.175463793,-0.259595492,0.086433265,-0.495506308,0.128216388,0.385749768,-0.213657068,-0.707920082,-0.735656139,-0.252091432,0.517401289,-0.422012443,1.047652774,-0.345189396,0.848375895,0.312453523,-0.4307613,3,1
10,10,0.098206172,-0.291453312,0.125343976,-0.582562076,-0.741347509,0.246980034,-0.073651989,0.517400647,-0.687473754,-0.153983131,-1.109804901,-0.650274819,0.140376482,-0.185401599,0.633087697,-0.207600621,0.627085318,0.30791791,-0.29839456,-0.593179055,-0.236849196,-0.95007063,-0.532871693,0.73255462,-0.107883883,-0.413754957,-0.566160701,-0.574038388,0.360340154,0.424926226,-0.283524158,0.103003869,0.762839076,0.302945269,-0.476207336,0.137438094,-0.474962735,0.341906434,0.472130416,-0.137636788,-0.741468584,-0.695045476,-0.335441748,0.36856323,-0.549092591,1.335099667,-0.486432518,1.013503975,0.422277721,-0.420853535,3,1
